source_file,condition,role,run,behavior_key,behavior,behavior_count,behavior_denominator,behavior_percent,threshold_percent,present
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,61,protective_behavior,Protective Behavior,0.0,1910.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,62,protective_behavior,Protective Behavior,0.0,1931.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,63,protective_behavior,Protective Behavior,0.0,1974.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,64,protective_behavior,Protective Behavior,0.0,1931.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,65,protective_behavior,Protective Behavior,0.0,1941.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,66,protective_behavior,Protective Behavior,0.0,1963.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,67,protective_behavior,Protective Behavior,1.0,1811.0,0.05521811154058532,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,68,protective_behavior,Protective Behavior,0.0,1950.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,69,protective_behavior,Protective Behavior,0.0,1823.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,70,protective_behavior,Protective Behavior,0.0,1859.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,71,protective_behavior,Protective Behavior,0.0,1905.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,72,protective_behavior,Protective Behavior,0.0,2003.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,73,protective_behavior,Protective Behavior,0.0,1813.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,74,protective_behavior,Protective Behavior,0.0,1873.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,75,protective_behavior,Protective Behavior,0.0,1962.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,76,protective_behavior,Protective Behavior,0.0,1979.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,77,protective_behavior,Protective Behavior,0.0,1999.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,78,protective_behavior,Protective Behavior,0.0,1812.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,79,protective_behavior,Protective Behavior,0.0,1851.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,80,protective_behavior,Protective Behavior,0.0,1799.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,81,protective_behavior,Protective Behavior,0.0,1890.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,82,protective_behavior,Protective Behavior,0.0,1785.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,83,protective_behavior,Protective Behavior,0.0,1946.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,84,protective_behavior,Protective Behavior,0.0,1950.0,0.0,7.091133199926835,0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,85,protective_behavior,Protective Behavior,0.0,1925.0,0.0,7.091133199926835,0
