agent_type,condition,source_file,Affiliative_pct,Internalizing_pct,Externalizing_pct
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,55.533596837944664,3.1620553359683794,41.30434782608695
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,79.72972972972973,0.7882882882882882,19.48198198198198
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.444444444444445,27.632850241545892,67.92270531400966
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,24.867724867724867,15.784832451499117,59.34744268077602
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,7.029053420805999,23.89878163074039,69.0721649484536
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,68.49615806805708,3.1833150384193196,28.3205268935236
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,8.714918759231907,20.01477104874446,71.27031019202363
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.367041198501873,25.187265917602996,68.44569288389512
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,23.195876288659793,16.924398625429554,59.87972508591065
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,13.400464756003098,19.287374128582492,67.3121611154144
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,8.654602675059008,16.915814319433515,74.42958300550747
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,63.853028798411124,3.0784508440913605,33.06852035749752
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,64.32692307692308,3.75,31.92307692307692
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,57.54812563323202,2.330293819655522,40.121580547112465
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,5.661764705882353,18.823529411764707,75.51470588235294
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,66.20689655172414,1.7733990147783252,32.01970443349754
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,48.63849765258216,6.854460093896714,44.50704225352113
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,82.1256038647343,1.932367149758454,15.942028985507244
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,7.837301587301587,28.57142857142857,63.591269841269835
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.803073967339097,27.953890489913547,67.24303554274735
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.746580852775542,23.25020112630732,72.00321802091713
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,2.591973244147157,24.665551839464882,72.74247491638796
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,62.67806267806267,3.513770180436847,33.80816714150047
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,3.0172413793103448,28.27586206896552,68.70689655172414
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,3.058321479374111,21.97724039829303,74.96443812233285
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,6.863679694947569,26.69208770257388,66.44423260247855
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,10.105092966855295,20.45270816491512,69.44219886822958
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,3.711340206185567,21.786941580756015,74.50171821305842
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.253544620517098,22.101751459549625,73.64470391993328
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.783808647654094,23.73505059797608,71.48114075436982
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.400749063670412,24.9063670411985,70.69288389513109
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.783258594917788,22.19730941704036,73.01943198804184
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,65.37396121883657,0.9233610341643583,33.70267774699908
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,19.67467079783114,15.182029434546862,65.143299767622
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,66.66666666666666,2.7777777777777777,30.555555555555557
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,21.49837133550489,14.983713355048861,63.51791530944625
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,8.918249380677127,20.809248554913296,70.27250206440958
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,46.90582959641256,3.587443946188341,49.506726457399104
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.343629343629344,27.606177606177607,68.05019305019306
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,7.246376811594203,22.82608695652174,69.92753623188406
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,8.374875373878366,26.420737786640082,65.20438683948156
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,83.02122347066168,3.9950062421972534,12.983770287141075
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,70.63829787234043,2.021276595744681,27.340425531914892
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,19.604471195184868,18.658641444539985,61.73688736027515
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,4.646251319957761,32.629355860612456,62.724392819429774
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,33.53819139596137,11.501316944688323,54.96049165935031
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,5.248868778280543,23.34841628959276,71.4027149321267
DB,ACE,multiple_runs_DB_HighThreat_Series_20260501_214553.csv,10.861132660977502,17.377812257564003,71.7610550814585
