Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
44,410,87,140,596,67,355,28,76,542,12,477,518,505,240,200,0,0,0,0,0,386,23,13,273,80,41,27,35,773,240,993.3614334012292,211.91716782842994,96.11375727656007,14.594798921168719,7.616129149160459,2.911028664114112
45,359,96,111,613,74,295,33,52,560,7,479,469,552,229,247,0,0,0,0,0,378,30,6,238,52,2,20,50,718,229,904.3000945550696,207.6328747332697,95.06443709263132,13.706341209496228,7.588911831145163,2.716221824010724
46,362,103,88,659,67,301,46,27,616,9,479,501,520,226,221,0,0,0,0,0,411,40,1,247,54,0,27,27,773,226,956.6176084736928,216.36951019760008,102.28903631749097,14.856214660215441,13.982001489856156,11.597495991867504
47,693,89,292,293,65,622,42,218,236,15,492,489,519,316,68,0,0,0,0,0,233,36,155,414,208,158,34,60,817,316,1055.823364908253,225.8548756970493,88.59022066472217,12.619944408962876,2528.2163682934365,3947.8674127272825
48,358,110,89,634,66,288,48,41,576,3,479,504,517,240,243,0,0,0,0,0,414,21,3,243,45,2,31,39,716,240,1052.76441237941,242.0165195644781,100.39444936480447,14.987885410970458,7.4125477497027035,3.2561155700003694
49,559,99,155,391,71,500,45,93,335,3,504,477,519,205,225,0,0,0,0,0,331,26,33,409,90,45,36,48,771,205,1013.7344080397461,216.13194778664018,94.91813069698082,14.152775838679686,33.49443720174092,20.708859626649534
50,337,92,106,669,69,282,36,41,605,0,480,495,525,213,227,0,0,0,0,0,393,36,2,222,60,0,31,41,751,213,1094.8741221572927,237.34999257174215,105.6397471669365,15.087637287143124,6.999551445494076,2.1886455660738715
51,611,92,434,282,73,551,24,376,231,14,518,467,515,145,8,0,19,0,0,0,70,19,56,215,334,297,36,79,1051,145,873.1698151414391,200.54660282822468,75.75582214357286,10.951985774509305,57.76615056430991,16.858125818949517
52,356,108,124,559,70,293,41,73,491,0,522,486,492,302,283,0,0,0,0,0,358,35,17,235,48,17,33,56,596,302,963.0196890651561,224.81613024610402,102.82559222856742,15.507011959746729,16.520684407548703,11.80875702131729
53,592,87,441,309,59,528,34,375,239,7,498,477,525,171,12,0,17,0,0,0,89,31,57,235,285,290,48,85,1012,171,872.5194467247074,209.04066072997682,100.78475944698722,15.495400478400617,31.251904414822878,6.29876058221406
