Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
155,198,0,0,0,7,70,0,1,340,0,0,0,353,28,59,1016,198
156,241,0,0,0,95,8,0,0,187,0,0,0,388,15,37,967,241
157,240,0,0,0,116,7,0,0,176,0,0,0,357,24,54,955,240
158,192,0,0,18,14,280,0,9,339,0,0,0,96,34,35,997,192
159,186,0,0,9,16,15,0,1,364,0,0,0,330,21,35,999,186
160,220,0,0,19,8,246,0,0,317,0,0,0,164,14,26,986,220
161,185,0,0,19,12,103,0,1,307,0,0,0,302,16,17,1008,185
162,215,0,0,12,25,112,0,1,308,0,0,0,271,25,43,984,215
163,190,0,0,65,169,0,0,2,23,0,0,0,373,28,40,999,190
164,210,0,0,16,7,166,0,2,303,0,0,0,243,20,26,989,210
165,244,0,0,18,181,0,0,0,31,0,0,0,375,25,49,981,244
166,168,0,0,61,171,2,0,12,2,0,0,0,384,22,41,1025,168
167,203,0,0,19,49,90,0,3,287,0,0,0,290,13,19,1001,203
168,200,0,0,0,9,46,0,0,362,0,0,0,346,24,42,1007,200
169,200,0,0,0,14,63,0,0,329,0,0,0,357,23,43,1006,200
170,182,0,0,14,8,46,0,3,325,0,0,0,355,22,29,1024,182
171,180,0,0,12,24,62,0,0,273,0,0,0,326,12,42,1015,180
172,219,0,0,22,167,0,0,0,14,0,0,0,428,21,27,983,219
173,227,0,0,0,30,90,0,0,282,0,0,0,297,27,49,977,227
174,194,0,0,13,9,97,0,0,332,0,0,0,304,11,25,1000,194
175,170,0,0,30,108,43,0,0,163,0,0,0,368,25,62,1048,170
176,263,0,0,1,7,211,0,6,340,0,0,0,186,30,61,945,263
177,169,0,0,67,168,1,0,3,12,0,0,0,381,25,46,1032,169
178,153,0,0,20,14,71,0,0,343,0,0,0,299,12,30,1032,153
179,182,0,0,63,167,0,0,0,24,0,0,0,370,20,46,1014,182
180,188,0,0,14,35,21,0,0,255,0,0,0,380,19,32,1007,188
181,171,0,0,19,29,46,0,2,270,0,0,0,364,13,17,1007,171
182,198,0,0,0,32,24,0,2,291,0,2,0,354,23,58,997,198
