source_file,source_path,run,total_complex_behaviors,learned_helplessness_pct,protective_behavior,community_trusting_vulnerability,healthy_friendliness,bully_behavior,aggressive_withdrawn_relationship,learned_helplessness,dangerous_trust,latent_group
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,108,955.0,0.0,304.0,0.0,401.0,194.0,14.0,0.0,42.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,109,1097.0,24.06563354603464,31.0,0.0,16.0,378.0,376.0,264.0,32.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,110,1019.0,23.061825318940137,75.0,0.0,0.0,280.0,397.0,235.0,32.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,111,1036.0,22.779922779922778,49.0,0.0,5.0,315.0,405.0,236.0,26.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,112,1037.0,23.722275795564126,62.0,0.0,9.0,302.0,394.0,246.0,24.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,113,915.0,31.038251366120218,49.0,0.0,1.0,180.0,379.0,284.0,22.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,114,1156.0,11.505190311418685,164.0,0.0,126.0,432.0,267.0,133.0,34.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,115,1085.0,21.566820276497694,51.0,0.0,22.0,366.0,378.0,234.0,34.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,116,985.0,0.10152284263959391,284.0,0.0,355.0,255.0,50.0,1.0,40.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,117,1047.0,26.36103151862464,25.0,0.0,3.0,333.0,384.0,276.0,26.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,118,892.0,0.0,305.0,0.0,315.0,171.0,71.0,0.0,30.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,119,970.0,0.9278350515463918,240.0,0.0,273.0,302.0,110.0,9.0,36.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,120,972.0,0.0,335.0,0.0,377.0,211.0,21.0,0.0,28.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,121,1110.0,27.207207207207208,42.0,0.0,2.0,350.0,396.0,302.0,18.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,122,902.0,28.38137472283814,36.0,0.0,15.0,202.0,371.0,256.0,22.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,123,938.0,30.383795309168445,38.0,0.0,0.0,227.0,366.0,285.0,22.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,124,1360.0,20.588235294117645,53.0,0.0,13.0,611.0,366.0,280.0,37.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,125,891.0,29.180695847362514,40.0,0.0,0.0,189.0,380.0,260.0,22.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,126,1002.0,0.499001996007984,292.0,0.0,298.0,283.0,84.0,5.0,40.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,127,1078.0,0.0,261.0,0.0,300.0,372.0,125.0,0.0,20.0,resilient
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,128,1110.0,6.846846846846846,223.0,0.0,135.0,396.0,248.0,76.0,32.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,129,1222.0,18.330605564648117,101.0,0.0,48.0,487.0,337.0,224.0,25.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,130,1159.0,3.278688524590164,262.0,0.0,213.0,432.0,176.0,38.0,38.0,vulnerable
multiple_runs_largerun_db_highthreat_20260410_030216.csv,multiple_runs_largerun_db_highthreat_20260410_030216.csv,131,925.0,28.10810810810811,43.0,0.0,6.0,210.0,375.0,260.0,31.0,vulnerable
