source_file,source_path,agent_type,condition,run,learned_helplessness,apathy
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,67,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,68,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,69,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,70,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,71,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,72,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,73,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,74,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,75,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,76,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,77,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,78,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,79,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,80,0.0,0.0
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,NB,ACE,81,0.0,0.0
