Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
125,651,86,251,317,65,512,490,498,321,130,0,0,0,0,0,266,31,129,410,176,132,33,55,749,321
126,310,112,83,659,66,515,497,488,205,270,0,0,0,0,0,402,24,0,214,46,0,28,29,739,205
127,597,90,413,321,65,482,487,531,177,14,0,16,0,0,0,109,23,84,234,291,283,27,71,1005,177
128,461,126,88,509,62,493,510,497,192,254,0,1,0,1,0,392,21,6,348,60,1,30,31,762,192
129,627,144,438,201,69,533,480,487,232,21,0,5,0,0,0,87,33,56,240,313,296,30,65,938,232
130,337,88,108,656,68,492,492,516,215,243,0,0,0,0,0,374,21,1,229,50,14,34,34,727,215
131,366,85,86,656,70,480,496,524,218,237,0,0,0,0,0,389,25,5,238,59,0,24,24,740,218
132,358,97,88,650,63,489,500,511,254,244,0,0,0,1,0,390,20,3,246,46,2,34,34,706,254
133,595,148,465,221,71,506,474,520,165,0,0,6,0,0,0,67,31,25,228,320,314,38,84,1048,165
134,340,82,109,619,66,513,478,509,201,284,0,0,0,1,0,393,21,1,238,42,4,29,40,710,201
135,616,88,415,306,71,497,474,529,153,4,0,15,0,0,0,85,25,44,257,287,285,38,75,1036,153
136,317,79,141,656,67,488,524,488,203,240,0,0,0,0,0,400,22,3,211,48,16,26,61,754,203
137,289,80,89,717,69,479,520,501,247,256,0,0,0,0,0,409,19,0,197,40,0,26,28,706,247
138,574,245,506,113,62,490,484,526,266,0,0,0,0,0,0,4,9,136,185,319,372,38,63,936,266
139,609,108,421,289,73,471,514,515,125,0,0,29,0,1,0,128,25,37,284,278,280,23,66,1062,125
140,466,82,94,525,61,521,470,509,184,272,0,0,0,0,0,378,24,13,339,58,0,28,42,743,184
141,717,158,438,128,59,492,493,515,182,0,0,0,0,0,0,79,12,55,313,317,316,31,63,1033,182
142,428,83,81,632,60,471,539,490,211,216,0,4,0,0,0,430,35,2,288,68,1,33,33,781,211
143,641,83,333,284,69,472,521,507,276,90,0,13,0,0,0,206,27,135,400,178,205,30,58,822,276
144,515,81,520,314,68,518,502,480,253,2,0,24,0,0,0,40,26,145,149,297,377,36,84,950,253
145,708,75,99,294,71,482,494,524,186,253,0,0,1,1,0,396,14,10,612,39,0,32,45,787,186
146,292,78,114,701,61,475,526,499,253,254,0,1,0,0,0,407,21,0,194,43,10,25,37,690,253
147,615,202,468,134,60,490,479,531,250,21,0,0,0,0,0,34,15,102,223,299,350,32,54,928,250
148,676,117,177,319,65,485,480,535,222,146,0,13,0,0,0,324,29,67,500,101,64,36,62,832,222
149,658,113,543,114,72,482,514,504,126,0,0,0,0,0,0,5,15,78,247,306,408,38,70,1069,126
150,680,84,283,273,66,500,478,522,336,114,0,0,0,0,0,239,11,158,411,193,153,39,68,750,336
151,616,199,484,114,67,510,465,525,213,20,0,0,0,0,0,13,14,96,234,310,357,34,67,960,213
152,857,85,121,131,67,450,515,535,170,239,0,0,0,0,0,411,23,77,684,35,5,24,44,772,170
153,320,73,96,681,59,494,515,491,222,271,0,0,0,0,0,406,15,2,208,52,0,27,31,703,222
154,263,87,91,704,58,527,468,505,260,297,0,0,0,0,0,366,27,2,156,38,3,30,30,637,260
155,619,84,183,329,65,514,486,500,228,220,0,0,0,0,0,328,33,56,462,84,56,31,65,760,228
156,456,106,95,541,68,507,508,485,227,234,0,3,0,1,0,401,20,13,324,74,2,37,40,754,227
157,651,170,460,155,61,487,517,496,276,3,0,0,0,0,0,88,19,125,292,306,332,26,68,949,276
158,700,76,292,302,65,480,511,509,335,65,0,0,0,0,0,230,24,169,422,213,186,41,51,819,335
159,261,92,106,680,66,505,474,521,225,295,0,0,0,0,0,360,40,0,175,32,8,23,47,681,225
160,322,84,111,648,63,516,466,518,209,272,0,0,0,0,0,353,17,11,201,53,11,26,29,712,209
161,675,253,109,140,68,496,495,509,209,255,0,0,0,5,0,381,33,14,559,53,11,24,48,750,209
162,325,79,101,665,66,481,473,546,208,264,0,1,0,0,0,379,25,1,224,44,8,30,44,757,208
163,687,98,95,286,65,505,492,503,212,269,0,0,0,0,0,379,18,50,516,58,3,23,25,703,212
164,525,268,508,135,64,472,492,536,196,0,0,0,0,3,0,13,7,46,144,324,383,31,58,1008,196
165,512,99,102,436,62,519,491,490,200,289,0,0,0,0,0,380,33,6,411,34,6,31,38,720,200
166,406,92,114,586,68,493,496,511,208,234,0,0,0,0,0,375,34,8,272,67,12,30,40,748,208
