Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_LowThreat_2

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
107,1120,89,125,108,58,1062,34,76,34,3,514,509,477,209,0,0,0,0,0,0,402,18,170,628,359,0,43,76,1000,209
108,381,168,626,258,67,328,86,561,215,7,499,492,509,96,0,0,0,1,3,0,208,5,21,270,56,182,336,379,1101,96
109,488,74,476,396,66,428,5,419,340,7,488,490,522,79,0,0,0,0,3,0,297,0,13,362,66,95,275,324,1120,79
110,596,73,83,677,71,527,12,34,626,6,499,492,509,174,0,0,0,1,7,0,391,0,3,412,113,4,9,30,1031,174
111,621,64,159,589,67,573,5,110,528,7,519,494,487,166,0,0,0,1,2,0,373,0,19,414,142,22,81,88,1057,166
112,420,78,618,316,68,358,18,557,259,13,515,504,481,86,0,0,2,5,0,0,236,5,19,290,51,170,347,387,1119,86
113,908,146,91,281,74,837,99,36,220,7,489,516,495,207,0,0,0,3,0,0,395,13,84,515,302,9,7,27,992,207
114,810,87,182,361,60,760,23,119,299,2,470,514,516,131,0,0,0,0,0,0,413,23,42,515,245,2,89,117,1072,131
115,707,188,144,395,66,640,118,82,346,4,470,505,525,94,0,0,0,4,0,0,387,7,8,446,194,14,23,68,1096,94
116,847,93,344,150,66,782,32,280,90,2,505,495,500,164,0,0,0,1,0,0,325,7,147,498,220,69,163,211,1022,164
117,730,141,213,347,69,667,84,162,286,7,497,506,497,114,0,0,0,3,0,0,388,26,5,473,194,16,120,146,1092,114
118,398,252,571,212,67,330,184,517,158,7,508,475,517,141,0,0,0,4,0,0,218,3,16,280,44,158,329,359,1055,141
119,703,195,178,362,62,636,136,109,290,5,484,496,520,138,0,0,2,0,2,0,371,15,20,438,179,26,72,83,1038,138
120,1206,62,109,52,71,1132,9,58,0,2,515,494,491,247,0,0,0,0,0,0,390,7,241,679,381,0,25,58,954,247
121,484,309,391,257,59,425,245,335,192,5,511,476,513,135,0,0,0,0,2,0,280,2,17,336,78,102,208,233,1067,135
122,911,75,157,294,63,852,25,88,227,2,507,506,487,129,0,0,0,1,0,0,412,23,65,621,207,0,57,88,1065,129
123,450,66,429,497,58,398,1,366,442,6,499,493,508,119,0,0,2,0,1,0,267,0,14,335,52,131,191,235,1094,119
124,852,59,383,144,62,790,0,314,81,10,487,483,530,176,0,0,0,4,0,0,312,0,151,558,120,86,181,228,1019,176
125,957,67,347,62,67,901,9,281,4,1,501,461,538,168,0,0,0,0,1,0,270,4,164,536,246,84,152,197,1028,168
126,724,94,166,452,64,658,42,115,389,6,502,494,504,134,0,0,0,0,1,0,343,27,0,444,214,60,20,55,1076,134
127,423,58,451,506,62,364,6,403,433,10,493,506,501,102,0,0,0,0,1,0,265,2,10,305,49,132,222,271,1114,102
128,816,87,111,411,75,760,30,52,365,2,499,479,522,144,0,0,2,1,3,0,370,23,58,404,346,7,31,45,1065,144
129,612,64,184,575,65,564,2,116,513,6,487,525,488,154,0,0,0,0,0,0,388,2,0,446,118,18,70,98,1047,154
130,672,79,462,220,67,617,9,400,165,11,501,489,510,128,0,0,1,5,0,0,314,1,82,453,118,90,270,310,1074,128
131,639,74,112,607,68,594,12,53,543,5,497,493,510,124,0,0,2,4,7,0,363,4,7,438,156,22,18,31,1083,124
132,681,122,140,509,48,620,60,75,441,0,482,465,553,117,0,0,6,0,0,0,367,9,3,426,194,4,63,71,1079,117
133,907,78,299,148,68,846,22,230,88,0,548,482,470,200,0,0,0,0,0,0,308,4,169,514,265,70,123,160,986,200
134,891,299,99,137,74,830,233,46,83,15,484,499,517,239,0,0,0,5,0,0,398,11,130,489,341,0,19,46,968,239
135,653,96,466,217,68,593,38,388,155,8,507,482,511,175,0,0,0,3,2,0,285,2,94,446,53,93,261,295,1007,175
136,471,61,113,778,77,410,0,57,722,17,516,496,488,197,0,0,0,8,0,0,393,0,4,296,111,4,12,53,1009,197
137,946,63,359,66,66,885,3,307,11,6,499,498,503,203,0,0,0,0,0,0,299,0,203,529,233,100,159,207,1009,203
138,630,141,77,586,66,560,89,23,535,6,500,503,497,146,0,0,0,6,0,0,402,23,1,462,98,2,7,21,1067,146
139,869,56,87,433,55,803,0,44,352,2,490,480,530,228,0,0,3,0,0,0,370,0,134,437,362,4,38,40,973,228
140,746,405,107,178,64,678,331,58,125,10,497,461,542,237,0,0,0,3,0,0,356,4,83,413,243,0,35,58,965,237
141,605,331,99,399,66,552,278,35,326,0,464,506,530,218,0,0,0,0,0,0,407,10,26,433,95,6,14,29,973,218
142,1208,56,110,65,61,1135,2,35,16,4,488,504,508,235,0,0,0,2,0,0,406,2,221,693,370,0,20,35,957,235
143,641,112,188,490,69,597,47,110,432,8,490,481,529,202,0,0,1,3,1,0,330,22,69,407,169,62,29,48,992,202
144,524,65,480,361,70,471,6,416,301,6,476,522,502,142,0,0,0,0,1,0,291,2,58,343,128,116,258,300,1058,142
145,983,54,311,82,70,925,4,255,13,0,474,496,530,217,0,0,0,0,0,0,300,3,214,546,263,90,126,165,980,217
146,355,63,492,523,67,294,0,424,464,12,493,499,508,115,0,0,0,2,0,0,223,0,5,259,30,162,215,262,1079,115
147,909,80,396,56,59,865,7,333,3,2,514,465,521,179,0,0,0,0,0,0,293,3,177,528,216,88,195,245,1031,179
148,312,92,676,351,69,259,42,604,288,0,462,516,522,91,0,0,0,0,0,0,177,8,3,243,13,230,320,374,1102,91
149,783,59,163,422,73,703,4,103,374,0,487,486,527,179,0,0,1,0,0,0,359,0,100,518,87,9,77,94,1005,179
150,910,61,336,128,65,855,3,273,58,4,495,503,502,243,0,0,0,0,0,0,302,0,217,516,219,97,134,176,950,243
151,1056,216,97,67,64,994,161,30,8,4,479,500,521,201,0,0,0,0,0,0,409,16,136,622,330,0,24,30,996,201
152,886,51,401,98,64,836,1,331,27,5,519,477,504,216,0,0,0,0,0,0,273,0,212,488,246,113,173,218,984,216
153,507,68,103,755,67,455,12,37,691,4,498,473,529,213,0,0,0,2,0,0,374,2,5,360,90,4,21,33,986,213
154,793,76,244,315,72,727,25,177,259,8,501,489,510,158,0,0,3,1,1,0,361,16,61,457,228,13,140,164,1038,158
155,640,168,299,326,67,580,116,234,265,4,519,485,496,189,0,0,0,0,0,0,369,19,26,443,130,24,180,210,1010,189
156,167,71,479,720,63,115,2,420,661,6,522,458,520,178,0,0,0,0,0,0,204,0,3,96,18,161,193,259,1026,178
157,812,321,136,174,57,742,255,80,121,0,504,507,489,237,0,0,0,0,0,0,371,3,124,415,327,31,37,49,961,237
158,740,114,104,470,72,688,52,44,405,10,517,486,497,172,0,0,0,3,0,0,400,15,25,490,192,2,20,42,1027,172
159,680,321,351,88,60,619,257,297,29,3,519,464,517,192,0,0,0,1,0,0,282,0,105,360,246,89,175,208,1013,192
160,912,358,108,55,67,849,299,42,1,6,473,513,514,160,0,0,0,3,0,0,405,0,52,476,373,0,16,42,1037,160
161,947,75,292,130,56,896,15,237,69,5,494,485,521,190,0,0,0,0,0,0,319,6,171,566,261,68,114,169,1032,190
