Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_NB_lowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
120,311,293,300,311,285,504,525,471,365,0,0,2,39,209,0,215,103,0,198,113,101,103,199,1135,365
121,304,305,304,305,282,496,478,526,371,0,0,0,45,178,0,194,109,3,203,98,106,98,198,1129,371
122,302,335,298,293,272,479,487,534,305,0,0,40,37,196,0,195,106,3,196,104,96,95,202,1195,305
123,282,301,314,320,283,502,476,522,326,0,0,32,47,182,0,195,106,2,190,90,99,105,215,1174,326
124,295,305,280,295,325,465,545,490,306,0,0,25,51,223,0,221,86,5,197,96,101,93,179,1194,306
125,294,270,332,298,306,493,485,522,339,0,0,26,42,189,0,192,81,3,193,98,104,127,228,1161,339
126,304,318,278,307,293,522,486,492,338,0,0,22,51,192,0,205,115,0,194,110,89,92,189,1162,338
127,285,309,295,317,294,491,476,533,349,0,0,4,51,182,0,188,112,4,203,80,106,90,189,1151,349
128,280,283,326,286,325,500,488,512,332,0,0,26,50,195,0,182,104,0,180,100,111,98,215,1168,332
129,319,289,296,304,292,493,500,507,359,0,0,1,54,200,0,206,80,1,213,105,94,103,202,1141,359
130,347,279,309,263,302,506,487,507,328,0,0,21,56,185,0,194,92,5,239,104,108,106,201,1172,328
131,288,303,291,297,321,478,527,495,353,0,0,20,52,209,0,212,113,4,204,82,106,85,185,1147,353
132,284,322,275,315,304,492,520,488,334,0,0,28,52,224,0,209,116,3,191,91,87,92,188,1166,334
133,312,300,275,310,303,472,499,529,335,0,0,28,42,207,0,203,103,1,219,92,89,83,186,1165,335
134,307,310,279,322,282,459,523,518,327,0,0,23,40,214,0,205,103,3,209,95,104,78,175,1173,327
135,311,300,294,316,279,530,495,475,314,0,0,17,47,199,0,193,100,0,194,117,103,103,191,1186,314
136,309,292,299,300,300,517,450,533,361,0,0,0,51,170,0,192,97,0,215,94,88,108,211,1139,361
137,300,297,317,291,295,513,487,500,375,0,0,0,53,184,0,203,89,4,212,85,100,123,217,1125,375
138,290,291,310,315,294,506,494,500,370,0,0,2,49,188,0,197,90,0,195,95,109,101,201,1130,370
