Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,largerun_db_highthreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
129,642,282,137,146,69,591,219,75,83,15,506,477,517,259,224,0,0,0,0,0,337,20,57,487,101,48,25,27,724,259
130,767,93,339,203,60,709,36,284,124,9,493,492,515,320,38,0,4,0,0,0,176,19,216,432,262,213,38,71,842,320
131,314,83,106,667,70,253,21,41,605,0,501,480,519,244,260,0,0,0,0,0,375,21,1,210,43,6,31,35,676,244
132,337,98,104,647,63,273,38,43,587,0,510,514,476,238,251,0,0,0,0,0,381,33,1,211,61,13,26,30,703,238
133,712,95,262,221,66,649,39,181,158,19,505,481,514,255,144,0,0,0,0,0,241,32,108,501,147,138,23,43,791,255
134,695,90,248,300,65,623,34,199,240,2,479,507,514,268,102,0,15,0,0,0,262,32,115,448,175,146,32,53,830,268
135,577,225,494,139,63,520,175,431,67,1,483,481,536,249,2,0,0,0,0,0,26,12,123,194,323,358,33,73,945,249
136,642,84,505,221,48,588,15,436,176,0,504,496,500,113,0,0,7,0,0,0,8,15,35,250,336,380,29,56,1102,113
137,470,77,131,509,68,401,27,68,452,0,507,491,502,241,245,0,0,0,0,0,350,26,25,331,70,32,24,36,707,241
138,773,115,119,191,73,719,62,55,133,13,481,492,527,217,229,0,1,0,0,0,387,42,67,604,60,10,24,45,765,217
139,392,81,122,592,75,340,29,57,530,0,492,486,522,236,238,0,1,0,0,0,376,29,10,267,71,15,25,42,720,236
140,346,101,136,591,73,298,47,81,534,0,514,485,501,259,253,0,0,0,0,0,345,47,1,250,47,41,33,40,701,259
141,719,110,302,191,64,654,43,230,130,12,497,488,515,301,114,0,5,0,0,0,222,39,168,437,177,162,22,68,768,301
142,401,87,95,621,65,354,22,27,566,5,485,477,538,230,231,0,0,0,0,0,380,22,12,278,67,0,25,27,744,230
143,668,189,157,250,73,608,118,105,197,3,515,479,506,239,163,0,3,0,0,0,325,62,68,474,134,48,22,57,792,239
144,353,88,83,599,64,287,32,33,555,0,528,466,506,176,313,0,0,0,0,0,378,25,3,250,37,0,31,33,731,176
145,588,93,150,378,59,532,31,90,316,1,462,512,526,173,232,0,0,0,0,0,377,27,32,463,52,37,28,53,797,173
146,473,78,89,538,70,409,21,33,474,0,470,504,526,195,252,0,0,0,0,0,407,21,2,364,45,2,28,31,742,195
147,572,204,493,151,61,503,148,434,89,8,492,501,507,279,19,0,0,0,0,0,19,14,120,192,301,369,31,65,903,279
148,603,80,538,213,66,543,17,474,151,7,478,501,521,257,0,0,1,0,0,0,0,14,132,183,317,394,25,80,935,257
149,312,71,102,675,63,243,23,29,628,8,486,496,518,242,277,0,0,0,0,0,389,23,2,208,35,8,21,21,689,242
150,728,76,501,126,69,679,18,438,79,0,525,460,515,198,0,0,0,0,0,0,3,18,122,268,347,374,26,64,1016,198
151,595,80,455,292,77,537,16,389,240,18,536,494,470,201,1,0,0,0,1,0,79,16,77,209,328,307,36,82,999,201
152,436,76,108,565,65,376,25,57,501,5,497,489,514,217,250,0,0,0,0,0,389,25,4,319,57,12,31,45,747,217
153,493,365,487,94,57,440,304,421,40,3,483,489,528,245,4,0,0,0,0,0,36,10,64,131,303,357,37,64,963,245
154,376,82,122,601,64,311,29,52,546,19,507,453,540,267,255,0,1,0,0,0,351,29,11,251,52,10,28,42,690,267
155,646,110,248,306,76,584,46,192,251,0,506,497,497,282,114,0,13,0,0,0,254,45,124,426,158,135,47,57,791,282
156,620,310,144,165,74,550,258,83,112,0,485,492,523,235,187,0,0,0,0,0,347,53,62,455,95,36,28,47,768,235
157,588,82,471,292,67,537,30,411,231,0,497,500,503,135,0,0,32,0,0,0,81,30,52,225,305,322,41,89,1074,135
158,463,104,109,500,62,389,38,54,434,24,511,481,508,293,262,0,0,0,0,0,385,18,5,351,37,11,38,43,646,293
159,545,251,524,109,68,497,189,466,46,0,513,494,493,236,3,0,0,0,0,0,4,11,96,137,353,386,33,80,962,236
160,651,101,183,295,67,597,35,122,239,6,510,508,482,243,203,0,0,0,0,0,313,35,72,490,104,78,32,44,756,243
161,643,78,439,267,65,593,21,370,208,2,506,489,505,202,8,0,15,0,0,0,89,21,83,281,299,295,32,75,992,202
162,397,78,85,585,69,342,22,29,518,3,506,499,495,223,286,0,0,0,0,0,400,21,4,298,44,0,29,29,691,223
163,642,176,263,242,70,585,113,210,177,6,465,504,531,251,107,0,1,0,0,0,269,55,90,460,122,139,45,71,840,251
164,433,88,101,593,67,380,23,41,535,7,476,541,483,244,218,0,0,0,0,0,429,23,4,326,54,2,30,39,742,244
165,420,95,87,600,68,368,33,27,533,4,457,497,546,230,230,0,0,0,0,0,395,25,5,306,62,0,27,27,735,230
166,373,99,95,618,67,305,37,39,545,19,509,484,507,297,248,0,1,0,2,0,377,25,5,247,56,0,31,39,648,297
167,659,85,544,148,64,600,37,481,91,7,507,497,496,396,0,0,0,0,0,0,16,33,272,229,297,371,41,110,820,396
168,592,141,534,169,63,539,75,459,108,15,513,495,492,290,1,0,0,0,1,0,12,15,154,189,308,388,40,71,906,290
169,624,153,129,316,71,564,95,78,256,10,471,496,533,219,207,0,0,0,4,0,380,42,25,509,51,20,24,58,784,219
170,542,263,485,117,59,482,203,430,51,0,510,490,500,201,34,0,0,0,1,0,18,25,87,180,297,371,32,59,965,201
171,542,294,508,95,61,492,230,450,35,0,463,485,552,158,0,0,0,0,1,0,0,9,28,177,315,383,33,67,1049,158
172,598,195,225,103,66,523,139,169,41,1,528,467,505,145,313,0,0,0,3,0,261,26,37,468,20,103,24,66,728,145
173,656,116,202,267,66,590,44,143,215,14,499,472,529,249,193,0,0,0,0,0,296,16,71,473,107,67,37,76,757,249
174,663,235,405,100,63,613,155,351,38,12,518,470,512,349,34,0,0,0,0,0,135,16,219,317,284,247,38,104,820,349
175,691,91,93,313,67,631,31,36,246,3,505,485,510,208,245,0,0,0,4,0,378,23,31,541,75,2,34,34,739,208
176,389,113,98,607,73,326,44,35,548,14,470,500,530,243,220,0,1,0,3,0,388,23,3,278,47,2,33,33,724,243
