Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,Random_NB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
70,293,301,298,301,307,293,301,298,301,307,484,511,505,486,0,0,45,75,202,0,206,103,191,67,101,103,81,195,1014,486
71,298,310,306,284,302,298,310,306,284,302,515,475,510,492,0,0,43,72,194,0,178,102,185,81,103,103,105,203,1008,492
72,324,269,301,315,291,324,269,301,315,291,514,494,492,573,0,0,24,77,198,0,203,84,239,62,102,93,103,208,927,573
73,287,299,299,328,287,287,299,299,328,287,497,513,490,478,0,0,45,67,198,0,207,110,147,105,92,108,93,191,1022,478
74,316,349,272,303,260,316,349,272,303,260,506,480,514,496,0,0,26,59,196,0,201,127,185,90,109,83,89,189,1004,496
75,325,293,311,295,276,325,293,311,295,276,540,495,465,518,0,0,42,67,188,0,217,114,211,94,111,90,114,221,982,518
76,316,288,300,305,291,316,288,300,305,291,477,516,507,485,0,0,36,64,201,0,217,89,188,91,107,98,96,202,1015,485
77,318,316,290,294,282,318,316,290,294,282,523,477,500,505,0,0,47,67,206,0,188,87,198,77,114,83,110,207,995,505
78,284,275,335,298,308,284,275,335,298,308,488,471,541,501,0,0,59,74,183,0,170,93,191,66,94,118,109,217,999,501
79,292,309,282,314,303,292,309,282,314,303,486,483,531,573,0,0,1,77,201,0,196,103,176,80,91,86,94,196,927,573
80,326,291,283,307,293,326,291,283,307,293,487,516,497,531,0,0,33,74,193,0,221,92,212,84,98,102,98,181,969,531
81,299,296,293,291,321,299,296,293,291,321,468,506,526,497,0,0,48,76,205,0,194,98,194,66,96,107,86,186,1003,497
82,300,299,302,314,285,300,299,302,314,285,521,502,477,540,0,0,57,60,202,0,207,103,209,60,108,93,121,209,960,540
83,299,333,299,304,265,299,333,299,304,265,500,461,539,500,0,0,35,71,181,0,199,108,174,93,84,81,111,218,1000,500
84,289,308,292,319,292,289,308,292,319,292,496,524,480,447,0,0,55,80,197,0,217,99,153,90,92,110,86,182,1053,447
85,303,303,304,299,291,303,303,304,299,291,489,487,524,476,0,0,45,79,183,0,199,91,198,72,101,105,92,199,1024,476
86,302,258,288,325,327,302,258,288,325,327,491,486,523,539,0,0,26,74,187,0,204,89,230,59,101,95,88,193,961,539
87,301,300,311,297,291,301,300,311,297,291,511,454,535,526,0,0,40,78,183,0,180,105,219,68,100,91,100,220,974,526
88,292,298,301,274,335,292,298,301,274,335,466,523,511,500,0,0,52,88,216,0,204,103,184,97,73,103,95,198,1000,500
89,279,281,318,302,320,279,281,318,302,320,515,496,489,431,0,0,40,82,184,0,197,111,161,83,90,115,106,203,1069,431
90,298,307,308,278,309,298,307,308,278,309,463,467,570,494,0,0,58,69,211,0,169,94,184,85,87,87,103,221,1006,494
91,292,292,316,296,304,292,292,316,296,304,462,520,518,508,0,0,57,78,192,0,216,94,182,75,89,112,90,204,992,508
92,295,336,277,312,280,295,336,277,312,280,472,537,491,561,0,0,37,58,226,0,208,102,202,65,94,103,79,174,939,561
93,307,303,274,305,311,307,303,274,305,311,501,480,519,510,0,0,45,84,194,0,193,105,200,74,109,93,82,181,990,510
94,305,290,306,317,282,305,290,306,317,282,498,474,528,477,0,0,49,69,182,0,202,104,207,70,103,90,106,216,1023,477
95,306,311,270,304,309,306,311,270,304,309,482,518,500,450,0,0,36,74,214,0,208,97,154,112,90,96,86,174,1050,450
96,319,315,284,255,327,319,315,284,255,327,482,488,530,597,0,0,1,92,217,0,199,102,243,60,96,72,94,212,903,597
97,318,300,263,303,316,318,300,263,303,316,508,486,506,485,0,0,44,78,204,0,204,106,196,77,106,78,92,185,1015,485
98,303,296,274,293,334,303,296,274,293,334,494,493,513,544,0,0,40,68,213,0,198,91,187,87,93,82,89,192,956,544
