Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_ModerateThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
62,712,98,121,492,77,650,44,67,433,9,487,517,496,192,0,0,0,4,0,0,411,24,0,502,148,4,31,63,1011,192,72.96389777027981,32.7417611469048,241.49608169525482,41.5551946374094,138.57181210680955,79.02187388395888
63,839,111,179,298,73,784,50,108,244,9,518,499,483,124,0,0,1,5,3,0,342,19,49,434,342,45,39,63,1071,124,45.50011254369332,28.338375520238465,222.9126679069009,42.54785844865086,234.36917547356765,265.29808262335877
64,864,73,86,407,70,812,12,47,342,0,505,503,492,187,0,0,2,0,0,0,407,12,101,470,342,0,30,47,1026,187,32.52332195372568,26.647168963709447,157.65794983093787,33.77052394913547,134.17813200382378,176.64937762662174
65,592,302,337,203,66,530,252,282,145,18,465,534,501,176,0,0,0,4,1,0,326,12,21,430,86,109,137,173,1051,176,55.94014743868657,27.130673173953507,142.4485822516839,28.54085894678656,32.79072301739682,19.969822537878343
66,1179,55,81,126,59,1119,4,21,55,8,509,468,523,202,0,0,0,0,0,0,382,2,167,691,394,0,6,21,1005,202,53.694112560928296,32.42391650068369,118.678857795133,24.223761522222834,33.7609943639274,25.04295714856609
67,296,66,595,479,64,238,7,541,415,8,476,472,552,76,0,0,2,3,0,0,174,2,3,210,26,204,274,337,1133,76,41.1459875764674,27.15330511098986,86.11920186439133,22.02131551878155,15.34810924412085,5.444503844031868
68,418,337,614,71,60,369,262,548,17,11,482,499,519,120,0,0,0,1,0,0,227,5,20,306,56,170,327,378,1087,120,29.66216498931967,24.553964693294056,110.80775228546028,25.850610324532788,60.60549084843084,53.38628586468377
69,608,234,455,140,63,549,188,390,68,13,495,520,485,137,0,0,0,0,0,0,312,8,41,432,107,86,276,304,1071,137,8.427857018603637,2.4047740448768296,129.3646484380239,29.400946417617146,213.56821626632703,175.8156287538231
70,574,304,115,436,71,515,255,52,371,1,480,512,508,206,0,0,0,0,2,0,401,22,2,386,128,6,25,46,988,206,45.17903830291803,26.258604703773713,175.6730549829526,33.51522896288796,72.55264483153141,35.90432985984792
71,911,362,95,63,69,843,304,35,0,10,510,505,485,284,0,0,0,2,0,0,411,16,156,475,368,0,15,35,908,284,46.05370206181569,31.890405676090868,193.37843665392296,35.42578319298975,40.88683868579452,19.343608750882634
72,871,94,136,332,67,810,30,67,269,20,512,471,517,162,0,0,2,6,2,0,347,13,73,450,358,25,23,42,1034,162,45.2563919424935,27.30183813361686,188.20689107178944,38.78966493224909,212.7097236906396,233.3416715310191
73,785,113,90,442,70,718,58,47,382,9,463,491,546,174,0,0,0,4,0,0,387,23,3,567,148,4,24,43,1040,174,96.40170076213239,44.53797530448884,202.53565894195694,36.03303238401919,392.01227910433585,448.450182876308
74,534,60,213,628,65,477,7,140,564,15,478,523,499,139,0,0,0,5,0,0,315,0,1,344,132,114,14,26,1064,139,23.06708368380325,22.388723138403957,98.06122843500052,21.54619501142467,80.86384839130315,41.87508044435163
75,415,115,626,282,62,344,52,577,211,7,466,510,524,91,0,0,2,0,7,0,191,0,42,269,49,219,302,358,1100,91,28.67390103004541,21.861525458144676,104.14763964301453,22.662043461443684,21.868893182722637,5.159414019284315
76,976,62,337,63,62,910,5,273,0,0,478,485,537,225,0,0,0,0,0,0,301,5,225,546,220,88,143,185,963,225,32.42063965372971,23.736054235597077,114.06180184808946,27.547532570163327,6618.673778011117,9695.942504454599
77,661,355,104,309,71,590,294,40,261,17,521,475,504,285,0,0,0,6,5,0,370,15,29,409,181,0,20,40,917,285,134.83300386364266,54.69367455137313,180.21382978838267,32.727434068041234,83.33847079282677,59.68354475865732
78,729,146,162,402,61,672,87,102,340,18,478,507,515,127,0,0,1,9,3,0,373,11,9,458,207,38,43,64,1092,127,46.57457700001523,31.218712531251665,158.59575018646032,32.7050555369726,134.07014147628806,78.50736612397229
79,890,54,408,88,60,836,1,347,22,4,497,491,512,169,0,0,0,2,0,0,287,1,165,536,215,123,184,224,1041,169,27.793219454415357,18.599145022340235,92.40779284425427,23.36752296904725,181.33524167474286,91.67084369313942
80,720,211,128,380,61,650,149,70,322,15,487,503,510,208,0,0,0,7,3,0,364,13,3,482,167,30,7,40,998,208,94.17354790596033,43.7734295279884,165.2478955363129,31.876168258228006,234.97183693478877,102.94423298951179
81,501,66,372,506,55,443,0,302,442,5,477,517,506,155,0,0,0,0,0,0,295,0,48,348,77,117,143,185,1037,155,20.909275287438533,15.337326560910705,98.87212238666616,21.320932637772227,23.552023644954286,6.6739005289996305
82,592,61,257,526,64,545,2,184,460,6,515,511,474,100,0,0,7,4,3,0,404,0,4,461,80,6,157,178,1097,100,20.344951807104785,13.844938082750637,148.2234991757225,30.69316386625825,82.1642922362226,48.65034850558217
83,859,80,105,391,65,807,18,46,337,0,477,482,541,183,0,0,0,0,0,0,387,12,121,451,356,1,18,45,1025,183,35.6830368336845,22.219583893784147,170.0426199801895,32.277171638618995,98.24425321989742,59.31946152518533
84,700,148,123,458,71,631,85,71,392,16,485,504,511,188,0,0,0,7,3,0,392,19,1,513,117,0,47,71,1007,188,139.25118319058106,51.99245042498252,233.21718938891823,41.14627078395822,64.77191588000365,43.350507468198415
85,871,67,418,81,63,806,22,345,17,4,478,491,531,174,0,0,0,0,0,0,278,4,161,527,169,115,196,230,1020,174,16.53420354761961,13.79509434171267,87.38898129442023,22.924696186418235,4928.54330185046,6069.35627250134
86,877,211,130,220,62,797,162,65,162,9,515,496,489,197,0,0,2,2,0,0,399,9,100,465,331,0,55,65,998,197,14.624220838803462,13.008681709067465,161.01770672098803,32.42652195863664,93.38518741875141,41.00913102761232
87,971,60,333,66,70,912,8,260,8,0,496,500,504,207,0,0,0,0,0,0,339,1,203,581,221,68,164,192,981,207,21.53223851681161,16.274725902315087,71.64374186500702,16.42214102515088,243.8509170036781,166.90272889198442
88,507,420,109,394,70,441,355,43,344,14,524,461,515,274,0,0,0,4,1,0,355,9,1,321,119,7,15,36,923,274,76.84082462677358,39.257671091194936,172.4148012713009,32.901079189236526,43.170687222915475,27.83000742211541
89,336,210,585,305,64,264,162,512,250,5,510,505,485,118,0,0,1,0,0,0,193,1,7,212,46,223,248,289,1075,118,23.34962424350035,16.38684412292468,88.90475501902432,21.72535000867289,36.581713417195026,18.94823326984382
90,497,220,499,219,65,459,148,431,159,0,471,517,512,140,0,0,0,0,0,0,277,7,47,342,106,139,246,292,1057,140,9.836206503866862,2.7363008421439234,116.37629307365813,26.023324663230564,22.62328523458448,5.373391000550389
91,365,49,507,516,63,305,0,441,456,7,496,487,517,117,0,0,0,3,0,0,255,0,7,285,13,140,253,301,1092,117,24.938681052045187,16.42824122705737,94.33368884510985,21.752732585143512,15.084725227327855,5.8050821341308385
92,701,382,105,237,75,627,325,59,184,24,499,496,505,203,0,0,0,3,7,0,388,8,6,445,178,5,31,54,1016,203,106.94144030565808,45.28760087617337,165.3177312382811,29.748304193378708,94.11522466171407,42.13806214762297
93,696,397,127,211,69,643,332,57,162,8,459,499,542,203,0,0,0,4,0,0,378,12,8,447,196,25,16,32,999,203,52.337066961828334,30.947263389602572,177.38872665597063,34.30959008385931,10649.625589721743,16714.011396488662
94,777,229,132,290,72,702,173,64,238,24,530,458,512,208,0,0,0,10,3,0,341,19,3,549,151,16,15,48,993,208,124.04415845415714,48.89663240219544,201.8435609038656,35.33729331545799,174.1332884367049,84.1956151769563
95,684,88,114,546,68,620,27,58,477,10,507,493,500,92,0,0,6,7,4,0,362,24,5,393,224,20,9,38,1100,92,31.90282878891837,19.607165561213023,238.3241260019221,43.73671288445493,87.29922061888043,37.9532661482967
96,895,372,99,63,71,829,319,44,5,6,454,521,525,232,0,0,0,0,0,0,417,14,124,497,332,0,16,44,971,232,48.84590716520733,29.35512184490772,200.3315226459331,37.41685185001731,179.96642157024343,142.89706297329036
