Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_StrongAllies_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
58,501,59,129,747,64,432,4,78,695,5,500,496,504,132,0,0,1,0,0,0,380,4,0,331,101,27,20,51,1082,132,59.13393581032925,36.89883507549838,167.6771118723718,36.26051719556866,70.75514678978757,91.04887769408776
59,610,81,174,572,63,541,11,120,526,0,515,481,504,125,0,0,1,0,0,0,315,6,0,335,206,65,35,55,1073,125,41.877260667467986,31.084317156233197,160.54459079211696,35.12855887916789,87.1138688254983,40.695832177116486
60,714,61,346,307,72,661,0,288,255,5,467,510,523,236,0,0,0,0,0,0,259,0,169,467,43,137,99,151,973,236,19.551840899755074,17.07331176189706,78.24153384072042,17.337028447290454,16.602819504548926,4.029502909565023
61,498,89,267,581,65,438,40,201,520,1,490,486,524,202,0,0,0,1,0,0,243,11,5,320,118,143,10,58,998,202,85.14185135467388,39.69905785369732,164.53431451672552,34.37776421661263,39.620352705686194,20.63000096472016
62,718,83,150,480,69,652,16,95,420,18,476,513,511,122,0,0,0,8,0,0,346,13,9,424,228,60,7,35,1079,122,69.28265354012899,41.07553232724481,196.78479616577255,39.784690161602185,84.08768953245797,46.610362511582004
63,167,130,838,293,72,113,82,776,232,0,509,507,484,75,0,0,0,0,0,0,10,13,2,60,52,398,319,378,1128,75,36.7262823426383,23.288969660125638,139.5843193917785,31.829306192611604,26.384615549932303,17.11012253841445
64,553,75,123,688,61,499,8,64,637,2,480,488,532,173,0,0,2,1,0,0,363,3,2,382,116,33,15,31,1037,173,46.59266644761714,32.90108731100775,128.55067479926828,32.518966377570756,665.240180995357,891.5943334054209
65,675,281,198,281,65,618,218,127,216,11,498,508,494,146,0,0,0,4,0,0,307,15,14,384,234,85,16,42,1044,146,29.453048183977987,16.633606165292065,194.68528335612856,39.688685086198056,74.93322597300669,37.29307517127917
66,554,160,261,459,66,478,112,197,393,17,482,476,542,119,0,0,4,9,1,0,322,0,1,357,120,61,123,136,1078,119,41.70849520970658,28.153771642136153,120.74122293490996,29.934426030590274,33.569544185430324,10.058216368214001
67,474,81,810,71,64,412,14,751,12,11,505,501,494,148,0,0,0,6,0,0,2,7,134,222,97,402,299,349,1052,148,22.066230993798857,12.665198762984213,152.2918268119002,35.25054059401901,29.131471001679795,4.388668243836905
