Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_ModerateThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
78,79,100,376,536,409,15,40,314,479,348,502,484,514,135,0,0,22,207,74,0,14,40,3,4,10,305,3,9,1061,135,3.8725534399919774,1.5141559285703374,190.2391734973269,38.37659175322132,7.939387709383683,4.669715775121548
79,104,447,490,111,348,41,386,429,64,281,519,495,486,156,0,0,1,183,25,0,14,132,12,14,24,355,37,74,1045,156,30.866985415886354,20.51215777506031,185.00715864027114,51.45933720693632,7.871281298301292,2.131039038861571
80,94,377,431,403,195,12,304,385,354,132,503,509,488,83,0,0,15,79,66,0,11,208,1,5,7,333,22,52,1104,83,13.912181805982472,10.912905316226357,92.8486912715612,18.262775949249015,7.874327455547046,4.199372285613564
81,59,369,147,498,427,1,315,90,447,365,509,488,503,366,0,0,18,252,296,0,19,46,0,0,1,81,9,9,852,366,9.055795185324895,9.878634600685688,73.52217677618037,27.926720303972854,5.879318581583143,3.103868268231927
82,65,73,239,521,602,11,10,181,455,544,503,471,526,270,0,0,34,254,205,0,18,7,2,2,9,158,21,23,931,270,15.080247163508638,14.270056471081043,496.6172554405233,263.7750899980174,5.813744469616971,2.288086123434599
83,59,714,117,312,298,4,647,58,247,237,475,493,532,225,0,0,17,173,317,0,13,137,2,1,2,49,7,9,968,225,3.789633974125421,1.2336262093693169,302.3037412006425,94.71106713849538,3.3507295325173496,1.1960994918537171
84,86,286,284,486,358,16,227,230,416,296,492,494,514,107,0,0,28,177,149,0,21,113,2,1,15,225,4,5,1078,107,13.06450143369662,17.490897213619277,264.0918044830547,63.05708864694338,7.973372212754149,3.2037712022281952
85,80,580,363,401,76,10,502,313,361,13,504,479,517,153,0,0,24,3,93,0,20,359,0,10,0,269,21,44,1046,153,15.6054670429278,10.734301804731745,61.41312054424299,13.647323971390476,8.176153438510829,4.3295293970443085
86,70,698,275,253,204,10,619,223,201,153,476,490,534,201,0,0,19,82,180,0,19,252,2,5,3,201,9,22,1005,201,6.511663122546199,2.522487235747346,169.0348809149645,33.92151775629917,5.929342460462323,2.421674869281487
87,70,452,401,478,99,24,394,335,421,39,512,533,455,86,0,0,26,9,103,0,27,321,8,3,21,294,26,41,1127,86,15.111905560774579,13.4582496994298,50.26660984518927,12.294071587020852,4.104380647625089,2.1250870354775526
88,83,511,357,119,430,16,444,291,61,368,493,503,504,164,0,0,4,159,188,0,8,129,0,7,9,215,31,76,1016,164,9.68409127738174,2.6978568342692677,248.84068669531985,48.220795092650704,8.902117269541767,2.327501757507047
89,90,105,283,537,485,25,48,226,465,432,499,483,518,155,0,0,23,188,199,0,11,39,1,9,15,182,20,44,1041,155,13.786407406415195,11.250948692604252,73.70305095540682,22.92822739467953,5.92046298454224,3.368980170120015
90,78,389,339,487,207,19,335,279,415,135,491,519,490,155,0,0,33,36,130,0,19,279,2,8,9,274,4,5,1028,155,5.278462451981812,1.9618771277228835,90.2877029145157,19.30063903059272,6.341924312844961,2.8584060758068484
91,71,83,146,498,702,14,26,89,435,640,483,499,518,262,0,0,29,260,279,0,22,26,3,4,7,81,8,8,942,262,4.874879848278199,1.9260070387642316,249.50396577604295,79.87328943894356,5.120661045630765,2.2340926854368863
92,75,508,179,525,213,8,435,118,479,159,505,479,516,178,0,0,30,48,259,0,19,283,2,0,8,107,11,11,1021,178,4.305160675231553,1.741183789563528,110.23397722198521,57.71093531881275,6.345883460779905,2.919834360742297
93,54,739,340,254,113,1,671,287,191,47,472,500,528,178,0,0,12,6,135,0,1,335,0,0,1,261,9,26,1019,178,12.871104026102621,12.595970260520687,76.90479642899524,11.434426562463832,4.914995505330085,3.1214750794133876
94,69,537,194,524,176,14,472,136,457,118,529,459,512,159,0,0,47,93,198,0,42,286,1,13,0,110,22,26,1038,159,14.86248725291213,20.57341402974015,116.31522979009817,34.52321590395818,11.272902223978038,14.732139727027644
95,72,665,180,441,142,9,608,115,380,67,524,497,479,196,0,0,11,56,316,0,19,277,2,5,2,66,20,49,983,196,14.05471514197923,11.836464649386349,175.91672126440474,101.44952029039979,3.533850043027354,1.4143542864979894
