Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_StrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
85,732,164,239,292,73,667,101,178,227,18,468,513,519,213,0,0,0,2,0,0,332,2,73,482,161,80,14,98,978,213,80.24608534584411,35.9875821272374,183.59578175038203,49.05950517605046,263.0681128311219,408.77632314919407
86,165,66,790,405,74,109,10,741,340,18,468,499,533,111,0,0,0,9,0,0,3,6,11,41,68,412,282,329,1107,111,9.83577815318115,2.8517926996985214,202.48364260791493,60.26527163353956,10.663148581355685,2.2280206055915746
87,657,72,190,513,68,590,10,123,454,6,491,468,541,52,0,0,1,3,2,0,300,5,0,386,204,65,23,58,1131,52,50.62686841755657,35.93391768407268,250.95036998055375,60.901819754699716,58.22407567064041,18.98657894949603
88,375,71,552,432,70,315,16,489,372,5,491,479,530,80,0,0,0,0,0,0,146,4,10,212,97,237,201,252,1117,80,11.73000238013927,4.189139827724201,169.1903308445316,50.554186333610765,21.821458958089476,5.608315973919941
89,764,85,117,473,61,701,15,53,420,5,488,504,508,161,0,0,0,2,0,0,404,10,3,546,153,4,25,49,1033,161,36.743333232107865,29.518540489755534,247.7753515060504,60.965110520048164,287.84873247628536,276.5563453816115
90,215,313,798,107,67,156,255,732,51,0,521,482,497,155,0,0,0,0,0,0,26,8,37,75,65,354,339,378,1039,155,8.846243230972638,3.424798572943903,213.43133535748564,62.169325584415766,18.56775581484399,4.393123351154015
91,576,54,166,640,64,525,0,116,567,9,498,478,524,135,0,0,1,3,0,0,346,0,8,341,183,52,39,64,1082,135,14.809274605796436,10.576539428396169,139.10962855236934,41.0606126652665,55.092680376557496,26.870148248437573
92,720,63,172,480,65,654,17,112,418,0,498,481,521,102,0,0,3,0,0,0,359,7,3,411,243,28,69,84,1099,102,14.058202675086175,13.238016779210101,213.024164646741,50.49917791361052,52.036827541328314,26.9979630827605
93,877,393,99,68,63,803,337,47,11,0,491,500,509,318,0,0,0,0,0,0,394,13,178,446,357,0,22,47,880,318,34.13351811486936,28.592744106401778,310.3675644419859,68.59138275478286,122.56692372216385,105.11532075195383
94,940,180,115,192,73,883,117,56,130,17,473,497,530,98,0,0,1,5,0,0,394,11,29,581,299,1,21,55,1105,98,38.21195034838634,26.641841445900557,335.54649914528807,75.47606348330731,57.50992798270509,59.931466944365425
