Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_DB_highThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
82,288,301,294,291,326,498,506,496,678,0,0,5,1,196,0,211,112,16,189,91,99,99,195,822,678
83,280,302,328,277,313,487,501,512,715,0,0,0,3,192,0,197,98,15,183,83,112,98,216,785,715
84,296,316,281,300,307,508,490,502,743,0,0,3,1,204,0,196,111,30,176,105,90,102,191,757,743
85,302,285,316,293,304,488,491,521,757,0,0,0,1,189,0,205,91,25,177,104,97,114,219,743,757
86,291,294,299,298,318,511,501,488,693,0,0,0,2,193,0,202,104,21,174,103,106,84,193,807,693
87,290,304,303,298,305,518,478,504,726,0,0,2,1,192,0,184,100,20,177,95,102,107,201,774,726
88,305,296,296,316,287,535,468,497,762,0,0,0,1,191,0,191,102,39,164,123,86,106,210,738,762
89,315,285,299,309,292,501,472,527,738,0,0,0,4,177,0,208,101,37,188,108,87,97,212,762,738
90,330,306,289,296,279,473,521,506,723,0,0,1,1,208,0,219,97,25,211,103,94,102,195,777,723
91,297,305,304,309,285,490,485,525,739,0,0,0,4,181,0,202,100,16,184,100,102,100,202,761,739
92,307,280,299,305,309,497,484,519,662,0,0,0,2,186,0,193,95,24,185,106,105,93,194,838,662
93,291,290,305,311,303,500,454,546,719,0,0,0,0,199,0,175,84,41,158,113,80,103,225,781,719
94,284,316,295,335,270,488,491,521,714,0,0,0,2,178,0,224,120,17,181,89,89,99,206,786,714
95,318,296,291,292,303,516,498,486,708,0,0,0,2,202,0,204,106,29,196,103,92,107,199,792,708
96,282,337,317,262,302,486,487,527,696,0,0,0,0,198,0,191,107,11,181,90,98,98,219,804,696
97,331,276,294,313,286,506,496,498,744,0,0,0,1,195,0,209,92,25,204,104,92,102,202,756,744
98,283,306,321,286,304,522,515,463,715,0,0,0,3,204,0,204,103,18,186,88,107,112,214,785,715
99,317,270,313,298,302,453,495,552,657,0,0,0,1,172,0,209,82,26,204,90,114,93,199,843,657
100,294,296,312,291,307,463,509,528,696,0,0,0,0,209,0,191,103,25,182,90,109,101,203,804,696
101,323,287,294,291,305,497,501,502,668,0,0,0,2,193,0,198,94,37,185,113,110,86,184,832,668
102,311,295,281,301,312,494,476,530,692,0,0,0,0,170,0,211,97,35,187,102,95,95,186,808,692
103,321,298,307,279,295,476,479,545,749,0,0,0,2,191,0,191,99,38,194,102,97,107,210,751,749
104,330,298,296,303,273,524,467,509,689,0,0,2,2,168,0,206,108,58,188,101,93,112,203,811,689
105,275,297,305,308,315,489,500,511,727,0,0,0,2,206,0,201,98,24,169,86,93,110,212,773,727
106,295,305,318,299,283,489,533,478,694,0,0,0,1,209,0,226,96,9,203,83,98,124,220,806,694
107,303,293,295,317,292,507,479,514,749,0,0,0,3,189,0,200,107,39,170,100,90,96,205,751,749
108,303,310,284,302,301,517,496,487,710,0,0,1,0,179,0,205,102,42,173,100,112,90,172,790,710
109,303,288,314,312,283,488,504,508,748,0,0,6,0,221,0,185,86,32,178,107,98,100,216,752,748
110,299,306,306,296,293,464,521,515,667,0,0,0,2,210,0,200,94,28,171,112,111,80,195,833,667
111,306,302,318,285,289,528,484,488,740,0,0,0,1,188,0,186,107,39,175,109,110,108,208,760,740
112,296,298,306,300,300,482,514,504,683,0,0,0,0,207,0,212,102,19,190,89,95,102,211,817,683
113,316,297,286,296,305,496,488,516,722,0,0,0,0,186,0,216,90,27,201,97,86,98,200,778,722
114,297,301,273,304,325,490,522,488,680,0,0,5,2,205,0,218,103,11,190,97,99,92,174,820,680
115,338,283,296,262,321,505,500,495,708,0,0,0,0,208,0,197,86,34,187,126,95,94,201,792,708
116,278,299,301,317,305,482,496,522,689,0,0,4,2,184,0,206,103,25,167,95,106,84,195,811,689
117,259,307,304,301,329,501,483,516,718,0,0,0,0,199,0,190,113,0,178,81,94,88,210,782,718
118,297,306,278,285,334,525,469,506,721,0,0,3,4,207,0,182,103,21,189,91,80,118,198,779,721
119,308,297,280,304,311,495,491,514,671,0,0,3,0,199,0,190,94,21,175,119,102,81,178,829,671
120,297,305,305,298,295,498,494,508,686,0,0,3,0,181,0,201,116,19,186,93,112,87,193,814,686
121,309,289,288,330,284,492,515,493,696,0,0,1,1,193,0,222,91,21,205,88,100,96,188,804,696
122,304,318,256,309,313,508,487,505,702,0,0,0,0,204,0,203,111,28,180,102,80,83,176,798,702
123,325,294,293,299,289,493,503,504,718,0,0,1,0,196,0,211,93,30,200,99,96,101,197,782,718
124,309,282,305,301,303,508,526,466,711,0,0,0,0,203,0,225,102,11,199,105,98,109,207,789,711
125,309,325,302,282,282,495,525,480,697,0,0,1,3,209,0,212,101,33,189,103,104,98,198,803,697
126,285,298,314,276,327,520,466,514,691,0,0,1,2,191,0,169,100,7,180,98,106,104,208,809,691
127,301,294,313,296,296,497,500,503,713,0,0,0,1,204,0,208,105,30,172,105,88,117,225,787,713
128,305,279,346,280,290,509,472,519,708,0,0,0,0,181,0,182,81,28,173,108,109,133,237,792,708
129,312,282,310,311,285,491,491,518,687,0,0,0,1,179,0,192,91,21,180,115,120,89,190,813,687
130,315,302,282,297,304,530,492,478,672,0,0,0,2,195,0,203,109,22,188,110,94,101,188,828,672
131,290,302,294,305,309,465,511,524,663,0,0,0,0,200,0,190,90,35,174,101,121,81,173,837,663
132,286,292,291,323,308,507,448,545,722,0,0,0,0,178,0,175,97,9,191,86,95,102,196,778,722
133,306,308,288,306,292,500,494,506,694,0,0,0,1,194,0,205,98,22,179,109,95,98,193,806,694
134,317,291,293,299,300,509,490,501,713,0,0,0,1,182,0,207,99,31,195,100,101,106,192,787,713
135,309,276,311,294,310,483,497,520,682,0,0,2,2,208,0,191,88,25,179,114,98,89,213,818,682
136,295,300,294,285,326,481,456,563,705,0,0,0,0,199,0,181,105,19,196,84,76,95,218,795,705
137,266,284,315,318,317,486,512,502,697,0,0,0,0,198,0,201,102,18,162,86,113,102,202,803,697
138,329,277,294,304,296,547,465,488,751,0,0,3,1,173,0,213,100,28,202,113,79,96,215,749,751
139,301,317,296,306,280,470,501,529,692,0,0,0,2,198,0,211,101,24,189,94,92,81,204,808,692
140,288,307,296,305,304,476,496,528,703,0,0,0,1,207,0,198,101,12,181,97,91,101,205,797,703
141,285,292,295,312,316,512,484,504,747,0,0,0,1,200,0,187,93,44,152,114,97,95,198,753,747
142,307,305,297,288,303,498,499,503,712,0,0,2,1,199,0,221,103,32,188,103,79,103,218,788,712
143,297,291,265,334,313,466,484,550,671,0,0,9,0,186,0,212,90,10,192,96,86,85,179,829,671
144,290,324,316,289,281,470,505,525,700,0,0,3,2,211,0,183,93,23,179,89,111,109,205,800,700
145,284,312,303,314,287,479,522,499,735,0,0,0,1,208,0,201,105,22,188,79,113,92,190,765,735
146,328,280,326,294,272,511,482,507,672,0,0,5,2,179,0,202,89,32,191,110,101,111,225,828,672
147,297,290,301,323,289,496,514,490,687,0,0,1,0,203,0,205,95,25,185,97,106,93,195,813,687
148,314,266,301,308,311,514,481,505,682,0,0,12,2,171,0,203,93,17,196,108,107,94,194,818,682
149,295,311,297,309,288,493,487,520,763,0,0,0,4,204,0,200,111,37,173,93,83,97,214,737,763
150,270,293,324,305,308,514,481,505,710,0,0,6,3,206,0,167,97,13,157,101,108,109,216,790,710
151,287,303,287,300,323,503,502,495,682,0,0,0,0,205,0,189,98,23,156,113,108,94,179,818,682
152,305,292,297,304,302,482,521,497,700,0,0,0,0,196,0,213,91,24,182,100,112,97,185,800,700
153,290,294,301,311,304,472,530,498,756,0,0,0,2,213,0,222,100,27,180,89,95,101,206,744,756
154,309,313,297,302,279,500,465,535,718,0,0,0,0,183,0,185,98,33,185,98,97,94,200,782,718
155,292,329,326,286,267,499,484,517,729,0,0,0,0,180,0,198,104,11,192,93,106,110,220,771,729
156,303,307,294,275,321,508,498,494,682,0,0,0,0,218,0,187,84,17,177,112,93,105,201,818,682
157,318,297,271,302,312,456,524,520,681,0,0,0,1,198,0,229,91,17,203,104,97,84,174,819,681
158,300,316,302,305,277,530,484,486,737,0,0,0,0,193,0,198,103,38,167,117,93,99,209,763,737
159,296,281,333,305,285,519,472,509,698,0,0,5,3,169,0,199,91,28,173,104,104,120,229,802,698
160,309,300,300,299,292,504,479,517,739,0,0,0,1,195,0,187,92,43,165,121,97,98,203,761,739
161,294,312,312,281,301,459,510,531,709,0,0,0,1,216,0,186,105,22,174,100,108,89,204,791,709
162,312,312,299,305,272,484,496,520,690,0,0,1,2,182,0,209,101,29,182,110,105,98,194,810,690
163,295,301,302,307,295,454,532,514,699,0,0,0,4,199,0,221,102,22,192,84,112,81,190,801,699
164,332,285,299,279,305,518,477,505,731,0,0,0,2,175,0,204,111,35,198,106,98,100,201,769,731
165,301,315,288,307,289,533,498,469,711,0,0,4,0,188,0,198,115,20,195,96,112,89,176,789,711
166,298,280,311,297,314,479,511,510,704,0,0,4,0,220,0,191,84,14,189,97,100,100,211,796,704
167,287,280,334,294,305,511,510,479,678,0,0,7,2,208,0,184,91,19,179,92,118,114,216,822,678
