Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,120
Parameter: aHigherSitL,140
Parameter: aLowerSitDB,120
Parameter: aHigherSitDB,140
Parameter: aLowerSitNB,120
Parameter: aHigherSitNB,140
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_StrongAllies_LowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
80,104,505,345,254,292,31,448,287,197,227,475,514,511,198,0,0,0,23,216,0,10,96,1,26,4,187,64,100,992,198,8.803044900492655,3.4981277039045975,163.591678054442,25.775100654991057,7.403043872912929,2.2625818965461266
81,89,115,288,440,568,26,44,223,390,507,512,502,486,186,0,0,8,213,241,0,4,19,5,9,13,152,33,71,1004,186,10.211321947629228,3.9909081426162967,62.942423402429945,15.291966552979652,6.917027294738686,2.0469778051042797
82,81,653,247,86,433,20,595,182,23,383,480,490,530,290,0,0,0,97,274,0,8,221,3,14,6,120,19,62,913,290,11.277038433763448,4.079345318466753,253.44708364423187,39.89941134357036,6.394796104473171,1.7682672736141078
83,73,179,440,558,250,21,114,378,492,191,478,491,531,147,0,0,42,113,34,0,75,22,1,20,0,292,59,86,1049,147,11.31003204376205,5.446941393564466,127.0349390836756,43.722082162129595,6.77907763391743,4.551992119862086
84,76,393,414,499,118,16,329,365,426,59,514,456,530,95,0,0,14,47,19,0,0,301,0,11,5,328,13,37,1100,95,8.398168243526056,3.8976687895759614,112.43376685112906,21.199531128289443,5.84246215689945,1.6061947802032759
85,44,115,220,365,756,7,53,150,300,705,493,514,493,230,0,0,8,230,295,0,0,47,0,0,7,124,11,26,985,230,9.340450453644953,4.467148853776257,812.7163450365503,575.4273719247445,3.480297950111812,1.1469727260405265
86,70,472,292,532,134,14,427,227,464,86,471,507,522,143,0,0,25,63,194,0,1,239,1,4,10,205,16,22,1075,143,6.274474494987709,2.7121138869004593,85.35560760592695,22.182963599452442,4.714577058804536,1.528453250905529
87,65,613,201,293,328,5,556,136,235,268,481,504,515,208,0,0,16,190,275,0,3,68,0,3,2,125,9,11,992,208,3.132415515419522,1.163736057562416,651.2597202134085,341.75326211470997,5.714680795040609,1.8479220226021225
88,78,951,279,63,129,19,895,210,14,71,464,489,547,249,0,0,0,32,244,0,0,305,1,11,7,151,26,59,960,249,10.82659380301144,4.596098693080163,195.44626274454748,31.558838678976887,7.638944020789288,2.1436278941106894
89,70,451,256,425,298,9,385,197,370,239,508,480,512,156,0,0,8,63,204,0,0,289,1,3,5,179,10,18,1044,156,4.654154316677966,1.8380692708836952,118.65749316396703,29.719852393570594,7.299565182201438,3.070214954824561
90,99,603,306,418,74,19,543,244,363,29,500,514,486,125,0,0,16,21,181,0,5,305,1,6,12,230,8,14,1073,125,4.340101158569241,1.6383459423401106,145.59685200504703,28.914753656098878,6.729247848676627,1.8992771958315182
