Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,40
Parameter: tHigherSitL,60
Parameter: tLowerSitDB,40
Parameter: tHigherSitDB,60
Parameter: tLowerSitNB,40
Parameter: tHigherSitNB,60
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_ModerateThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
117,623,309,137,363,68,565,238,73,307,11,510,502,488,253,0,0,0,3,5,0,375,9,28,443,95,10,21,63,941,253
118,670,388,321,65,56,630,307,253,0,0,501,480,519,231,0,0,0,0,0,0,298,0,128,345,285,90,110,163,959,231
119,648,94,111,590,57,581,37,52,524,5,487,536,477,180,0,0,1,2,3,0,416,17,0,462,119,15,22,37,1019,180
120,801,84,128,422,65,748,31,64,356,1,477,510,513,172,0,0,0,0,0,0,389,18,30,510,234,1,31,63,1028,172
121,1080,193,109,54,64,1021,143,39,0,2,501,500,499,241,0,0,0,0,0,0,412,14,170,629,365,0,15,39,964,241
122,878,220,152,190,60,810,152,92,130,13,498,501,501,114,0,0,4,0,4,0,369,14,42,471,337,28,41,64,1083,114
123,744,81,201,415,59,691,6,148,350,8,485,495,520,77,0,0,13,4,0,0,339,6,60,412,274,54,80,94,1126,77
124,500,59,584,288,69,440,6,533,224,2,483,481,536,106,0,0,0,2,1,0,209,4,49,341,54,166,314,367,1099,106
125,526,111,99,691,73,475,56,32,626,13,472,509,519,231,0,0,0,5,3,0,399,4,5,365,105,3,12,29,971,231
126,953,60,349,72,66,903,1,287,2,0,478,485,537,222,0,0,0,0,0,0,285,0,222,545,239,104,146,183,971,222
127,854,220,148,210,68,795,165,81,156,0,524,502,474,177,0,0,3,0,2,0,383,13,94,448,330,25,37,56,1020,177
128,858,137,93,349,63,800,72,42,289,10,471,513,516,118,0,0,0,2,2,0,427,20,0,543,257,2,14,40,1095,118
129,366,72,670,328,64,308,14,615,253,8,494,489,517,81,0,0,0,1,2,0,204,6,17,260,33,194,370,421,1117,81
130,662,60,108,612,58,588,10,47,550,2,516,480,504,148,0,0,1,2,1,0,370,3,3,406,182,7,23,40,1049,148
131,891,172,102,278,57,819,117,48,222,4,448,559,493,100,0,0,7,3,4,0,428,4,41,482,335,18,24,30,1110,100
132,776,81,193,378,72,700,22,143,318,11,501,486,513,125,0,0,8,6,5,0,355,13,40,451,249,28,97,115,1069,125
133,593,74,478,290,65,521,16,423,235,8,509,490,501,138,0,0,0,1,0,0,257,0,69,347,145,149,236,274,1065,138
