Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,DB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,DB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
59,493,135,470,326,65,444,71,403,260,5,489,506,505,192,11,0,0,0,0,0,80,18,70,145,299,325,33,78,991,192,840.0470982495972,212.0311503355895,84.62964803292847,14.05743033019214,30.182344972261557,6.757238930222968
60,739,207,145,114,64,675,143,74,56,9,528,496,476,198,231,0,0,0,1,0,352,39,49,589,78,40,24,34,759,198,1080.612955947852,245.7981949434952,109.14748110156464,15.190097600435667,44.58927588565225,18.421561617753433
61,419,91,120,563,71,361,34,67,491,19,490,500,510,235,236,0,0,0,0,0,388,33,3,315,46,22,28,45,737,235,1009.5702175422479,231.1428912447134,94.21414159033672,14.076256410624548,5.299004853256727,3.611742262730309
62,586,102,269,328,68,532,50,198,265,0,514,493,493,262,147,0,14,0,0,0,250,50,85,399,133,137,48,61,783,262,1096.070940896172,232.32239881215608,111.69593286512534,16.755496750015713,138.77607619655652,213.00922262769345
63,699,90,209,216,74,634,37,154,159,1,502,460,538,155,212,0,0,0,0,0,265,37,30,561,73,100,43,54,830,155,1011.0629053125884,228.17419326627285,105.71457767159112,15.621876722300176,264.1586782695742,197.14796170734041
64,673,349,119,96,66,619,282,65,36,4,457,524,519,253,197,0,0,0,0,0,399,18,51,515,83,27,32,38,753,253,927.3704139041109,212.4851470132039,95.55613664344925,14.055547711643069,37.53815982926117,15.718537438794153
65,619,184,489,136,62,559,128,419,79,1,482,486,532,195,10,0,0,0,0,0,35,21,77,269,288,355,29,64,991,195,890.3995117743748,200.83376092055764,72.48834767300511,12.154684707230903,39.765927206907755,18.344748268785615
66,691,138,502,105,64,623,71,447,48,2,487,510,503,212,0,0,0,0,1,0,10,38,129,286,280,389,36,58,979,212,949.9142669726521,222.39392579032722,82.53846156011161,12.818670136860788,60.57542968045047,16.177239776049326
67,581,75,388,389,67,542,23,325,312,1,505,487,508,199,0,0,39,0,0,0,138,23,132,222,316,252,36,73,1004,199,995.3663260607236,224.86978569863334,82.73786426882816,13.514016808189055,20.159113087498845,3.9191461439589768
68,906,82,115,101,67,843,27,48,34,17,491,459,550,248,229,0,0,0,1,0,364,26,148,642,70,7,21,41,721,248,1171.644499693076,258.0577961875911,97.7600718578763,15.069432726218041,12.746259524373194,3.18969949334575
69,666,170,483,123,57,607,112,418,72,1,490,471,539,171,1,0,0,0,0,0,25,17,60,270,318,354,30,64,1039,171,938.5948622942257,226.27546055031277,72.99570261737372,12.025554575271796,45.70844824438433,16.602597406213864
70,714,150,391,132,75,661,93,332,67,0,512,446,542,240,38,0,0,0,0,0,94,35,119,331,260,258,49,74,913,240,1025.2967663219208,228.86403114971105,81.78233175923798,13.260933189561856,73.79998467656874,24.634330176951966
71,481,344,491,110,69,422,285,426,51,7,536,463,501,315,5,0,0,0,0,0,10,11,151,90,331,349,32,77,876,315,1011.5787099125165,217.88931391220498,69.01553186094516,11.705109693844266,15.022176718155336,4.095080923874338
