Run,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
180,223,0,0,0,0,0,0,300,0,162,511,57,83,94,146,967,223
181,190,0,0,0,2,0,0,352,0,124,580,126,63,27,53,1015,190
182,91,0,0,4,2,0,0,381,8,1,406,119,13,161,171,1087,91
183,94,0,0,0,3,0,0,228,2,13,280,59,169,312,358,1112,94
184,192,0,0,1,2,1,0,395,16,127,607,208,0,30,48,998,192
185,170,0,0,0,6,0,0,432,1,75,663,100,1,14,37,1020,170
186,180,0,0,0,2,0,0,360,5,2,471,168,25,10,26,1012,180
187,68,0,0,5,5,2,0,384,4,0,428,116,10,264,273,1118,68
188,255,0,0,0,7,0,0,348,1,48,391,153,47,15,27,955,255
189,218,0,0,0,2,0,0,350,0,213,671,275,66,88,114,1009,218
190,257,0,0,1,5,0,0,402,16,242,599,361,0,17,29,945,257
191,103,0,0,4,1,5,0,371,18,29,431,239,18,115,131,1080,103
192,194,0,0,0,3,0,0,331,10,6,389,176,50,16,48,1015,194
193,230,0,0,0,0,0,0,323,0,226,553,287,83,121,158,972,230
194,256,0,0,0,2,6,0,393,17,41,443,164,4,16,52,941,256
195,309,0,0,0,5,3,0,395,18,189,542,283,19,10,62,900,309
196,207,0,0,0,0,2,0,381,0,9,362,139,2,16,57,991,207
197,269,0,0,0,4,0,0,389,12,155,472,360,0,22,41,924,269
198,229,0,0,0,0,0,0,308,0,174,566,229,78,81,128,977,229
199,202,0,0,0,1,1,0,300,0,50,384,28,92,178,223,1002,202
200,229,0,0,0,0,0,0,300,0,185,528,143,88,112,150,971,229

Statistic,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
Total,33948,0,0,115,364,196,0,68649,1403,15652,91741,38108,10667,19616,25779,206099,33948
Mean,169.74,0.00,0.00,0.57,1.82,0.98,0.00,343.25,7.01,78.26,458.70,190.54,53.34,98.08,128.90,1030.49,169.74
Std,49.18,0.00,0.00,1.32,2.25,1.62,0.00,50.70,7.87,74.52,89.21,92.14,48.73,85.26,91.31,49.60,49.18
Min,68,0,0,0,0,0,0,179,0,0,244,6,0,7,19,897,68
Max,310,0,0,8,12,8,0,432,40,251,713,393,231,348,393,1136,310
