Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,80
Parameter: tHigherSitL,100
Parameter: tLowerSitDB,80
Parameter: tHigherSitDB,100
Parameter: tLowerSitNB,80
Parameter: tHigherSitNB,100
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_HighThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
70,61,780,367,221,71,0,729,303,145,13,507,497,496,198,0,0,6,7,149,0,0,354,0,0,0,252,24,51,992,198,797.9077705491289,202.33071037319584,33.77313006401647,7.577738013157715,38.72768505441747,38.67759461789578
71,50,759,391,213,87,0,690,341,153,24,507,482,511,186,0,0,19,15,67,0,9,343,0,0,0,315,24,26,1022,186,631.3626637363839,179.60484507643991,34.13545478221637,9.329538067534425,38.561527490946546,45.317382905666186
72,62,788,429,109,112,0,723,376,45,59,483,484,533,199,0,0,1,21,71,0,0,289,0,0,0,318,31,58,1004,199,751.4108346867661,200.7350498080379,41.73443954428504,9.93598027924569,56.41302292760886,54.84839860801031
73,53,755,294,276,122,0,694,228,203,63,525,490,485,216,0,0,14,26,180,0,5,317,0,0,0,201,27,27,972,216,753.710605819254,189.71049211830064,58.617431958134965,43.29708290411127,42.03595691156459,32.52172918014942
74,53,402,505,100,440,2,341,451,38,372,512,492,496,266,0,0,0,167,10,0,0,19,0,2,0,395,27,56,938,266,776.8643569167964,198.08883759621742,229.00920786916907,49.36491813764566,10.596502314837618,10.993454969489731
75,58,780,395,204,63,0,716,333,143,10,494,501,505,183,0,0,12,2,91,0,0,365,0,0,0,305,17,28,1019,183,564.9134497389168,172.62594137779308,37.50161036100288,7.809113254850803,37.33891195575782,42.842993641596095
76,61,456,520,51,412,0,391,460,1,353,482,497,521,289,0,0,0,170,0,0,1,7,0,0,0,395,35,65,916,289,676.0943914974839,189.21523140051377,214.66320303232698,62.543600950980895,11.861865573144586,9.269353260021333
77,57,894,313,62,174,0,834,265,0,107,526,460,514,257,0,0,0,19,145,0,0,370,0,0,0,219,25,46,949,257,545.7562171930415,175.679620205853,72.62370558979786,20.34598634645404,23.05286831218159,31.559654478919747
78,52,153,494,467,334,0,94,434,407,280,486,519,495,145,0,0,63,146,13,0,0,75,0,0,0,411,21,23,1070,145,463.38450303491055,140.04989776622193,304.65784219833824,82.90246219609853,34.41588015558274,32.37203804748306
79,70,837,462,58,73,0,775,392,0,13,500,462,538,185,0,0,0,7,39,0,0,363,0,0,0,336,24,56,995,185,521.2113242975797,169.9672844942143,30.71128921091066,8.667737841220864,26.683257515517273,23.502457618956285
80,69,84,459,468,420,0,16,407,407,361,523,473,504,181,0,0,67,183,3,0,1,14,0,0,0,373,20,34,1010,181,544.2135306459104,156.0451170455965,333.6194688063003,69.11052478340908,33.1060731829326,31.12796161893068
81,69,833,394,64,140,0,765,346,0,81,505,464,531,257,0,0,0,25,76,0,0,308,0,0,0,291,28,55,935,257,558.904913717922,166.0068882953847,89.51013237905528,23.358364898998726,38.37907195931224,35.22564630063663
82,59,80,475,480,406,0,16,416,416,348,492,497,511,180,0,0,71,174,1,0,0,16,0,0,0,384,23,32,1016,180,569.1553378551779,170.46324099921696,265.1360288918311,58.50360536267592,53.29579139443279,55.65950995525804
83,60,118,464,469,389,0,68,389,408,333,516,465,519,183,0,0,55,167,3,0,10,31,0,0,0,373,16,16,1015,183,625.3240216578041,168.2456667366998,264.4188446879802,91.70266823718957,34.64861854471159,31.90141967646744
84,66,551,441,356,86,0,491,378,305,42,477,508,515,157,0,0,15,22,64,0,0,323,0,0,0,337,21,41,1059,157,575.5285716163836,177.2629155804674,62.12414868397844,20.649536403112844,10.973712544107293,9.616685957995696
85,57,782,361,200,100,0,722,308,139,36,469,506,525,205,0,0,10,14,125,0,0,317,0,0,0,269,16,39,1000,205,551.9821931543297,167.33470043863943,44.41620015370607,9.102392096422298,12.17964877522115,8.854044295363646
86,60,453,485,218,284,0,394,415,158,214,479,492,529,201,0,0,10,104,17,0,0,123,0,0,0,363,22,52,980,201,656.3268583435331,168.7301467504956,159.49629986243195,41.21094478498836,13.292989746354019,15.149183768042779
87,77,695,494,95,139,0,640,442,37,75,449,492,559,214,0,0,0,30,18,0,0,229,0,0,0,381,25,61,980,214,505.7610632418152,154.92614336180438,77.53137428963333,23.293110854266033,11.795734084728664,10.103634970683492
88,42,731,461,199,67,0,660,396,137,15,488,488,524,177,0,0,11,10,34,0,0,351,0,0,0,357,16,39,1031,177,608.6649278574291,188.29267542234075,28.027823819458415,6.293894308237083,31.26587441057787,40.09424325654794
89,54,856,212,303,75,0,799,163,242,6,482,523,495,224,0,0,11,6,308,0,0,339,0,0,0,103,34,60,986,224,572.086553503164,167.7922608424519,30.112235557081682,7.228006778710058,33.40721544293941,48.71647115618717
90,68,775,506,54,97,0,722,440,1,43,486,480,534,184,0,0,0,20,17,0,0,334,0,0,0,374,26,66,1022,184,530.9906271842938,162.27027556386233,42.59292255535178,9.462948171170805,28.61920698025738,24.210378171994357
91,52,374,500,195,379,0,327,441,128,309,479,486,535,220,0,0,10,154,1,0,0,18,0,0,0,389,26,52,985,220,735.7632317666328,196.67284980007514,230.18424045808885,56.426231150810736,37.60809320275065,41.101564602101156
92,61,769,405,97,168,0,707,352,27,107,479,517,504,221,0,0,0,48,129,0,0,232,0,0,0,288,25,64,972,221,730.9069681537791,187.16220310497184,81.92306191311843,34.14691552148759,48.213135870291815,45.41437046303519
93,58,715,421,222,84,0,656,364,160,28,530,461,509,168,0,0,10,10,72,0,0,344,0,0,0,292,33,72,1040,168,884.1035272719477,216.81888858427516,29.49033517958661,6.488988900070686,48.753177530652174,45.25125115681087
94,55,832,481,74,58,0,768,420,0,10,475,507,518,186,0,0,0,7,37,0,0,361,0,0,0,371,25,49,1012,186,447.8920615015373,149.8518691724089,32.24827671332188,9.1501138432025,5.08754953181803,5.812279336332714
95,66,835,288,243,68,0,785,220,183,6,473,484,543,195,0,0,12,5,204,0,0,317,0,0,0,183,31,37,999,195,638.1101753021222,176.10298980047375,30.94838096751776,7.09946353716739,40.21691293950715,35.687868487813226
