Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,random_NB_lowThreat

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
129,292,302,320,289,297,492,491,517,434,0,0,46,72,194,0,196,90,149,92,101,101,104,219,1066,434
130,306,304,295,290,305,490,498,512,418,0,0,65,88,196,0,188,98,151,105,97,114,93,181,1082,418
131,301,314,292,295,298,532,473,495,394,0,0,45,88,201,0,185,109,150,98,113,87,106,205,1106,394
132,289,320,311,293,287,519,490,491,391,0,0,45,77,202,0,183,104,139,96,107,105,100,206,1109,391
133,286,282,332,299,301,497,482,521,415,0,0,33,70,199,0,194,80,147,89,103,89,122,243,1085,415
134,294,283,294,299,330,460,550,490,417,0,0,44,79,222,0,222,92,151,98,86,106,94,188,1083,417
135,318,292,282,321,287,506,474,520,412,0,0,58,68,187,0,188,100,161,102,114,99,93,183,1088,412
136,266,307,329,302,296,485,498,517,449,0,0,48,70,217,0,176,99,137,81,90,105,101,224,1051,449
137,300,310,278,289,323,479,488,533,445,0,0,23,71,196,0,211,96,150,99,102,81,90,197,1055,445
138,290,320,283,315,292,511,490,499,454,0,0,47,76,216,0,199,104,160,81,98,75,105,208,1046,454
139,288,305,282,312,313,522,456,522,400,0,0,49,103,176,0,178,101,137,105,93,102,88,180,1100,400
140,276,297,337,306,284,491,507,502,412,0,0,37,62,189,0,204,102,139,81,99,114,100,223,1088,412
141,274,306,330,309,281,490,514,496,404,0,0,46,69,195,0,207,100,126,109,79,112,105,218,1096,404
142,295,331,291,300,283,518,487,495,417,0,0,47,67,193,0,191,129,141,97,106,103,89,188,1083,417
143,279,311,331,277,302,503,491,506,437,0,0,37,69,205,0,179,107,137,95,94,107,104,224,1063,437
144,333,309,310,289,259,477,488,535,425,0,0,52,64,167,0,209,103,159,116,105,112,91,198,1075,425
145,290,279,297,321,313,531,473,496,403,0,0,50,100,177,0,199,98,140,97,95,97,94,200,1097,403
146,287,309,322,268,314,494,498,508,387,0,0,44,74,233,0,157,91,151,84,110,108,107,214,1113,387
147,296,330,291,292,291,488,514,498,382,0,0,36,90,207,0,211,110,138,112,95,96,86,195,1118,382
148,310,286,295,312,297,487,489,524,443,0,0,17,66,198,0,211,92,162,98,107,80,109,215,1057,443
149,298,304,300,305,293,488,512,500,422,0,0,42,65,217,0,200,96,148,106,96,95,107,205,1078,422
150,271,279,344,302,304,501,457,542,425,0,0,27,67,169,0,178,99,133,95,83,110,113,234,1075,425
151,311,306,299,308,276,490,501,509,399,0,0,52,70,194,0,208,107,166,100,100,99,92,200,1101,399
152,289,280,328,302,301,486,536,478,452,0,0,25,72,205,0,220,89,141,96,103,111,108,217,1048,452
153,299,311,289,299,302,505,475,520,430,0,0,41,72,192,0,200,99,166,89,101,83,100,206,1070,430
154,282,337,320,271,290,516,487,497,425,0,0,21,85,202,0,181,99,142,92,97,104,122,216,1075,425
155,298,306,301,293,302,512,501,487,445,0,0,52,77,203,0,201,102,152,96,101,97,118,204,1055,445
156,308,290,319,310,273,495,469,536,483,0,0,0,72,186,0,178,82,156,98,103,105,112,214,1017,483
157,286,326,296,304,288,527,462,511,449,0,0,15,74,188,0,193,114,140,95,96,81,107,215,1051,449
158,297,275,295,311,322,496,500,504,423,0,0,37,86,199,0,206,82,139,99,111,95,95,200,1077,423
159,296,289,292,319,304,523,473,504,425,0,0,28,71,207,0,185,85,139,107,108,81,112,211,1075,425
160,308,305,289,284,314,534,483,483,447,0,0,40,79,200,0,194,116,152,106,97,89,103,200,1053,447
161,299,284,294,309,314,502,502,496,421,0,0,46,80,192,0,212,102,156,105,93,98,99,196,1079,421
162,319,292,294,295,300,520,490,490,441,0,0,45,62,204,0,182,99,163,96,119,104,101,190,1059,441
163,289,322,293,289,307,478,506,516,439,0,0,44,76,212,0,205,87,140,98,98,89,101,204,1061,439
164,284,284,308,328,296,521,448,531,441,0,0,65,75,172,0,183,93,131,104,98,93,107,215,1059,441
165,297,323,284,306,290,504,473,523,422,0,0,45,73,189,0,191,101,145,100,100,93,96,191,1078,422
166,278,302,335,295,290,495,503,502,441,0,0,33,73,196,0,193,98,141,97,93,114,104,221,1059,441
167,265,291,332,301,311,473,512,515,494,0,0,30,61,232,0,182,95,164,64,84,98,112,234,1006,494
168,284,305,309,326,276,488,490,522,437,0,0,32,54,194,0,206,117,156,93,85,90,103,219,1063,437
169,290,300,313,290,307,496,498,506,409,0,0,19,78,197,0,197,102,144,106,79,104,107,209,1091,409
170,298,313,320,287,282,496,495,509,459,0,0,37,64,192,0,190,105,169,84,94,113,106,207,1041,459
171,282,297,330,294,297,471,532,497,444,0,0,39,72,194,0,218,88,152,85,98,120,102,210,1056,444
172,268,300,301,305,326,474,479,547,405,0,0,29,71,202,0,189,85,139,94,82,88,110,213,1095,405
173,303,304,314,304,275,488,486,526,410,0,0,37,74,189,0,188,96,156,101,102,109,100,205,1090,410
174,301,268,305,308,318,507,491,502,410,0,0,39,90,180,0,204,102,132,115,94,107,99,198,1090,410
175,299,300,307,307,287,496,498,506,406,0,0,32,79,197,0,195,96,149,103,95,106,93,201,1094,406
176,310,283,315,265,327,491,503,506,434,0,0,17,88,201,0,201,84,160,101,105,101,106,214,1066,434
177,319,274,308,301,298,492,501,507,384,0,0,31,86,207,0,189,79,157,106,116,105,104,203,1116,384
178,284,295,277,315,329,537,473,490,420,0,0,33,87,204,0,183,106,136,94,101,86,102,191,1080,420
179,313,296,293,277,321,479,512,509,394,0,0,31,83,224,0,188,99,154,106,98,100,81,193,1106,394
180,296,291,319,304,290,462,520,518,400,0,0,32,69,183,0,222,93,153,102,89,115,95,204,1100,400
181,310,305,268,316,301,494,490,516,474,0,0,18,84,193,0,227,91,161,107,87,70,93,198,1026,474
182,280,315,291,313,301,491,494,515,404,0,0,53,81,198,0,190,97,135,96,102,106,96,185,1096,404
183,293,308,321,286,292,477,514,509,442,0,0,28,65,203,0,214,95,140,108,91,97,110,224,1058,442
184,280,317,305,289,309,492,509,499,419,0,0,39,77,203,0,198,96,143,92,95,108,95,197,1081,419
185,313,304,297,270,316,471,520,509,406,0,0,40,69,213,0,212,96,159,113,97,95,104,202,1094,406
186,307,282,314,298,299,469,515,516,463,0,0,37,66,184,0,228,88,158,103,95,103,101,211,1037,463
187,302,300,292,302,304,483,507,510,406,0,0,50,62,205,0,206,121,148,110,94,96,96,196,1094,406
188,278,276,309,327,310,500,474,526,405,0,0,55,84,183,0,198,91,135,98,94,93,100,216,1095,405
189,291,323,310,305,271,518,468,514,406,0,0,48,68,180,0,190,108,147,90,106,98,105,212,1094,406
190,294,298,304,296,308,479,477,544,412,0,0,34,68,204,0,192,92,146,104,87,81,113,223,1088,412
191,286,312,300,314,288,502,475,523,423,0,0,54,73,179,0,199,118,145,97,89,97,100,203,1077,423
192,300,299,290,315,296,463,483,554,403,0,0,48,76,190,0,196,83,148,108,88,97,91,193,1097,403
193,310,304,295,281,310,469,493,538,424,0,0,42,66,207,0,200,82,161,103,106,86,101,209,1076,424
194,314,299,282,303,302,509,471,520,473,0,0,13,59,205,0,178,109,177,83,114,88,86,194,1027,473
195,323,334,300,260,283,463,492,545,404,0,0,55,77,188,0,189,101,167,97,116,115,82,185,1096,404
196,292,321,282,302,303,518,510,472,446,0,0,37,84,210,0,208,103,148,97,101,92,88,190,1054,446
197,313,317,289,290,291,517,488,495,423,0,0,25,65,199,0,192,118,141,104,115,97,102,192,1077,423
198,303,304,266,297,330,524,487,489,401,0,0,34,92,208,0,192,104,155,101,96,87,95,179,1099,401
199,281,293,303,311,312,534,464,502,414,0,0,31,84,174,0,180,98,132,90,109,110,92,193,1086,414
200,286,318,326,281,289,498,515,487,453,0,0,16,62,205,0,199,117,142,97,98,111,97,215,1047,453

Statistic,fight_count,flee_count,befriend_count,chase_count,cry_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical
Total,59356,60491,60318,59935,59900,99080,99014,101906,85475,0,0,7547,14901,39691,0,39541,19819,29937,19789,19626,19782,19852,40536,214525,85475
Mean,296.78,302.45,301.59,299.68,299.50,495.40,495.07,509.53,427.38,0.00,0.00,37.73,74.50,198.46,0.00,197.71,99.09,149.69,98.94,98.13,98.91,99.26,202.68,1072.62,427.38
Std,15.04,16.20,16.28,16.29,15.42,19.02,19.16,17.97,28.37,0.00,0.00,13.29,8.76,13.52,0.00,13.87,9.75,11.96,9.87,9.44,10.95,9.36,14.21,28.37,28.37
