Parameter,Value
Parameter: Prob_threat,0.33
Parameter: Prob_ally,0.33
Parameter: Prob_prey,0.33
Parameter: tLowerSitL,20
Parameter: tHigherSitL,40
Parameter: tLowerSitDB,20
Parameter: tHigherSitDB,40
Parameter: tLowerSitNB,20
Parameter: tHigherSitNB,40
Parameter: aLowerSitL,80
Parameter: aHigherSitL,100
Parameter: aLowerSitDB,80
Parameter: aHigherSitDB,100
Parameter: aLowerSitNB,80
Parameter: aHigherSitNB,100
Parameter: pLowerSitL,80
Parameter: pHigherSitL,100
Parameter: pLowerSitDB,80
Parameter: pHigherSitDB,100
Parameter: pLowerSitNB,80
Parameter: pHigherSitNB,100
Parameter: societyL,70
Parameter: societyNB,70
Parameter: societyDB,70
Parameter: Risk_Aversion,1.2
Parameter: Risk_Threshold,10.0
Parameter: Reward_Inclination,1.0
Parameter: Reward_Threshold,0.0
Parameter: MainB,NB
Parameter: Training_Episodes,1500
Parameter: Learning_Period,600
Parameter: Learning_Rate,0.001
Parameter: Model_Name,NB_LowThreat_Series

Run,fight_count,flee_count,befriend_count,chase_count,cry_count,fight_exploit_count,flee_exploit_count,befriend_exploit_count,chase_exploit_count,cry_exploit_count,threat_count,ally_count,prey_count,boredom_maladaptive,learned_helplessness,apathy,positive_mindset,community_trusting_vulnerability,fearful_withdrawn_relationship,detached_withdrawn_relationship,aggressive_withdrawn_relationship,willingness_to_flee,self_destructive_anger,bully_behavior,protective_behavior,healthy_friendliness,dangerous_trust,over_friendliness,hopefulness,cynical,l_loss_mean,l_loss_ci95,db_loss_mean,db_loss_ci95,nb_loss_mean,nb_loss_ci95
53,86,213,349,497,355,15,151,290,444,285,507,480,513,78,0,0,39,171,96,0,20,131,6,0,14,257,27,33,1107,78,4.3662252750370545,1.544622973133102,194.82782663535409,50.65251019172005,9.915925250046197,4.072262282127787
54,96,218,261,575,350,22,158,201,517,296,450,471,579,127,0,0,56,156,133,0,56,108,3,6,16,194,7,7,1067,127,3.658523834158474,1.4367297735132838,1054.01370913778,646.7328192943615,8.525524309090766,2.5857395847679587
55,79,90,333,662,336,17,44,274,593,270,519,471,510,163,0,0,31,124,103,0,23,27,5,3,14,257,17,17,1035,163,2.4551743901978296,1.0835793784721617,179.49281463603404,60.27045552194071,8.167662363852367,3.8302628154347436
56,85,59,292,542,522,24,20,238,481,462,482,509,509,202,0,0,33,223,181,0,12,17,9,5,17,228,8,10,1023,202,3.635934865684192,1.3631026397502015,375.2601263048046,115.5690625458732,7.498108813045713,2.605525160437041
57,71,120,390,637,282,25,50,315,583,223,518,448,534,136,0,0,38,139,42,0,21,43,10,3,20,296,4,19,1060,136,6.02677955658063,2.180543133119697,309.1263270819696,125.24793670306818,5.122469383070672,1.8063829706056653
58,66,241,278,369,546,11,188,224,304,496,501,496,503,202,0,0,13,234,200,0,5,4,0,3,8,195,11,29,1021,202,5.87155835607721,2.197234314913888,524.8795468157388,145.52275537358713,7.39835453570155,3.278637433483731
59,95,286,355,550,214,37,221,282,487,147,485,507,508,101,0,0,44,58,137,0,21,157,16,6,29,235,46,47,1073,101,3.6016799217597812,1.3773011729542783,105.6682839722113,23.787341057771858,6.481179105202129,2.801901722795126
60,60,399,182,539,320,6,326,125,483,265,531,466,503,226,0,0,26,173,250,0,11,96,3,0,3,117,8,8,978,226,2.762433304861971,1.388807101812502,74.12665822830832,29.33104057072439,5.84105637935308,2.8118034480444924
61,87,499,338,496,80,18,438,287,438,16,464,515,521,116,0,0,24,11,110,0,22,301,4,8,9,278,8,9,1081,116,2.828463421888706,1.0336782870987422,116.08014644946084,25.754214262072356,7.439772521362669,2.481056693648334
62,54,162,349,519,416,1,112,289,447,357,490,480,530,115,0,0,24,234,74,0,13,29,0,0,1,289,0,0,1091,115,3.695820409918495,1.3775323911158632,748.997041231526,423.3641990142857,5.944053417621816,2.9105588032014142
63,65,456,364,484,131,11,394,307,422,74,517,462,521,120,0,0,24,48,66,0,9,317,0,3,8,294,12,13,1088,120,3.7632142504892636,1.3789999835235747,111.52409493813954,26.772729478317146,5.790363689727344,2.626942725297531
64,72,598,216,476,138,13,531,152,419,86,525,476,499,128,0,0,23,40,217,0,45,301,1,4,9,135,17,17,1073,128,3.0746253031975495,1.3547554939752402,119.49569087296484,28.472615443842887,6.657957737247946,2.700599556306812
65,98,206,269,517,410,40,139,211,455,344,507,480,513,156,0,0,49,170,138,0,42,120,13,15,13,204,5,7,1033,156,3.3961142129892403,1.536102013138206,2041.9291721743136,2075.698846122054,6.795928243856714,3.300548797515479
66,66,306,241,537,350,16,237,175,471,286,480,479,541,118,0,0,27,116,200,0,28,190,5,3,13,166,8,9,1067,118,4.399802003290875,1.4618427831797234,182.63451440153435,64.6249231847723,4.561782318936729,1.5876013143749892
67,113,313,415,486,173,46,261,359,423,108,491,526,483,107,0,0,49,43,73,0,15,231,19,5,41,338,7,21,1090,107,6.28238462719754,2.3679294070349375,81.08557254000046,20.182210457658776,5.46960733153346,1.6384984948455612
68,79,415,269,503,234,20,356,202,437,182,497,486,517,112,0,0,29,69,200,0,5,242,3,7,13,182,8,20,1085,112,5.477922954468579,1.7322949986353668,173.71707675769431,61.30824086444496,7.107149624032866,2.485002979507002
69,87,421,236,340,416,13,371,185,285,348,499,476,525,272,0,0,18,227,190,0,10,21,1,3,9,177,8,8,930,272,3.5831862226634046,1.5730478263231702,370.6293355057379,81.62954013833898,8.287194679652986,3.5143515710233375
70,62,312,324,640,162,7,257,269,576,99,463,501,536,104,0,0,33,80,105,0,30,137,0,4,3,258,6,11,1104,104,3.9346647766189067,1.6370462100425671,68.06075362687591,16.041286471789583,5.33621487165024,1.7870836332715874
71,62,486,332,489,131,15,414,254,423,83,498,512,490,148,0,0,23,45,222,0,12,216,4,1,14,177,70,77,1041,148,5.263567814192554,1.8545386087059827,178.04078169761164,142.1451594991448,4.606525828103992,1.9387548418653784
72,105,161,347,561,326,47,103,286,494,271,496,491,513,127,0,0,55,191,85,0,4,36,20,3,44,277,9,9,1074,127,2.0763849286802185,0.9938953051711955,179.40462749366392,42.23651812307831,7.028711590821353,3.0191614618907274
