source_file,source_path,condition,role,run,adaptive_count,maladaptive_count,total_complex_behaviors,adaptive_pct,maladaptive_pct
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,74,1555,318,1873,83.02189001601708,16.978109983982915
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,75,1595,367,1962,81.29459734964321,18.705402650356778
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,76,1681,298,1979,84.94188984335523,15.05811015664477
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,77,1552,447,1999,77.63881940970485,22.36118059029515
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,78,1577,235,1812,87.03090507726269,12.969094922737307
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,79,1687,164,1851,91.13992436520799,8.860075634792004
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,80,1511,288,1799,83.9911061700945,16.008893829905503
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,81,1612,278,1890,85.29100529100529,14.708994708994707
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,82,1602,183,1785,89.74789915966387,10.252100840336134
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,83,1655,291,1946,85.04624871531347,14.953751284686536
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,84,1700,250,1950,87.17948717948718,12.82051282051282
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,85,1628,297,1925,84.57142857142857,15.428571428571427
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,86,1528,428,1956,78.11860940695297,21.881390593047033
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,87,1580,345,1925,82.07792207792208,17.92207792207792
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,88,1618,303,1921,84.22696512233212,15.773034877667882
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,89,1657,270,1927,85.98858329008821,14.011416709911781
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,90,1758,188,1946,90.33915724563207,9.660842754367934
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,91,1721,223,1944,88.52880658436214,11.471193415637861
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,92,1496,516,2012,74.35387673956262,25.646123260437374
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,93,1728,263,1991,86.79055750878956,13.209442491210446
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,94,1584,239,1823,86.88974218321448,13.110257816785516
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,95,1623,181,1804,89.96674057649668,10.033259423503326
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,96,1682,280,1962,85.72884811416922,14.271151885830784
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,97,1723,245,1968,87.55081300813008,12.449186991869919
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,98,1708,261,1969,86.7445403758253,13.255459624174708
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,99,1625,281,1906,85.25708289611752,14.742917103882478
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,100,1507,432,1939,77.720474471377,22.279525528623
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,101,1667,313,1980,84.1919191919192,15.808080808080808
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,102,1728,210,1938,89.1640866873065,10.8359133126935
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,103,1604,210,1814,88.42337375964718,11.57662624035281
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,104,1623,315,1938,83.74613003095975,16.253869969040245
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,105,1669,267,1936,86.2086776859504,13.791322314049587
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,106,1666,296,1962,84.91335372069318,15.086646279306828
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,107,1633,245,1878,86.9542066027689,13.045793397231098
multiple_runs_NB_HighThreat_2_20260407_101013.csv,multiple_runs_NB_HighThreat_2_20260407_101013.csv,ACE,NB,108,1572,373,1945,80.82262210796915,19.177377892030847
